"","Abudefduf sexfasciatus","Abudefduf vaigiensis","Acanthurus dussumieri","Acanthurus lineatus","Acanthurus nigrofuscus","Amblyglyphidodon curacao","Amblygobius albimaculatus","Amphiprion clarkii","Amphiprion frenatus","Amphiprion ocellaris","Arothron nigropunctatus","Asterropteryx semipunctata","Atrosalarias holomelas","Callogobius hasseltii","Chaetodon auriga","Chaetodon auripes","Chaetodon bennetti","Chaetodon citrinellus","Chaetodon ephippium","Chaetodon lineolatus","Chaetodon lunula","Chaetodon plebeius","Chaetodon speculum","Chaetodon trifascialis","Chaetodon trifasciatus","Chaetodon vagabundus","Cheilinus trilobatus","Cheilio inermis","Cheilodipterus quinquelineatus","Cheiloprion labiatus","Chlorurus sordidus","Chromis atripectoralis","Chromis ternatensis","Chrysiptera brownriggii","Chrysiptera cyanea","Chrysiptera glauca","Chrysiptera rex","Coris variegata","Corythoichthys haematopterus","Ctenochaetus striatus","Dascyllus aruanus","Diodon liturosus","Epibulus insidiator","Epinephelus merra","Exallias brevis","Fowleria aurita","Fusigobius neophytus","Gnathodentex aureolineatus","Gobiodon citrinus","Gomphosus varius","Halichoeres marginatus","Halichoeres melanochir","Halichoeres melanurus","Halichoeres nebulosus","Halichoeres trimaculatus","Hemigymnus fasciatus","Hemigymnus melapterus","Heniochus chrysostomus","Labracinus cyclophthalmus","Labrichthys unilineatus","Labroides dimidiatus","Lethrinus genivittatus","Lutjanus fulviflamma","Macropharyngodon meleagris","Meiacanthus kamoharai","Naso sp","Nectamia fusca","Neoglyphidodon melas","Neoniphon sammara","Neosynchiropus ocellatus","Ostorhinchus aroubiensis","Ostorhinchus cookii","Ostorhinchus cyanosoma","Oxymonacanthus longirostris","Parapercis cylindrica","Parapercis hexophtalma","Parupeneus barberinus","Parupeneus spilurus","Parupeneus trifasciatus","Plectorhinchus diagrammus","Plectroglyphidodon dickii","Plectroglyphidodon johnstonianus","Plectroglyphidodon lacrymatus","Plesiops coeruleolineatus","Pomacentrus amboinensis","Pomacentrus chrysurus","Pomacentrus littoralis","Pomacentrus moluccensis","Pomachromis richardsoni","Pseudochromis tapeinosoma","Ptereleotris evides","Ptereleotris microlepis","Rhinecanthus aculeatus","Salarias fasciatus","Salarias luctuosus","Saurida gracilis","Scarus ghobban","Scarus oviceps","Scarus prasiognathos","Scarus psittacus","Scolopsis lineata","Scorpaenodes kelloggi","Siganus punctatus","Siganus spinus","Siganus virgatus","Sphyraena barracuda","Stegastes nigricans","Stethojulis bandanensis","Stethojulis strigiventer","Stethojulis trilineata","Thalassoma hardwicke","Thalassoma lunare","Upeneus tragula","Valenciennea longipinnis","Zanclus cornutus","Zebrasoma scopas","Zebrasoma velifer"
"Actinopterygii",0,0.201499531396439,0,0,0,0.0646180356117174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.467532467532468,0.444444444444444,0,0,0,0.0148846440089308,0.0726757904672015,0,0,0,0,0,0,0.0467153284671533,0.113454045381618,0.444444444444444,0.141479099678457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.249980631665935,0,0.714285714285714,0.5,0.285077951002227,0,0,0,0,0,0,0,0,0,0,0,0.04986642920748,0.115107913669065,0,0.120689655172414,0.0427350427350427,0,0,0,0,0,0,0.129081245254366,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0657640232108317,0,0.0331360946745562,1,0.0478761699064075,0,0,0,0,0,0,0,0,0,0
"Anthozoa",0,0,0,0,0,0,0,0,0,0.19811320754717,0.4,0,0,0,0.21443998765813,0.272727272727273,0.833333333333333,0.196575776791376,0.249249249249249,0.497512437810945,0.518950437317784,0.746268656716418,0.6,0.961538461538461,0.900900900900901,0.166872682323857,0,0,0.222222222222222,0.585714285714286,0,0,0,0.145351580934403,0,0.0452729693741678,0,0,0,0,0,0,0,0,0.454545454545455,0,0,0,0.717703349282297,0,0,0,0.0104052257355917,0,0.0340080971659919,0,0,0.5,0,0.218472468916519,0,0,0,0,0,0,0,0.212903225806452,0,0,0,0.186602870813397,0,0.71969696969697,0,0,0.0710339384372534,0,0,0,0.34808552958727,0.744416873449132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0151187904967603,0,0,0,0.0390136801216011,0.0407806583163414,0,0,0.0314516129032258,0,0
"Arachnida",0,0,0,0,0,0,0,0.0503388189738625,0,0,0,0,0.00914076782449726,0,0,0,0,0.041851616994293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0357973035797304,0,0,0,0.0233576642335766,0,0,0,0,0,0.0286614173228346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0504633452610331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0282485875706215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0103270223752151,0.0305822387767104,0,0,0,0,0,0,0,0
"Benthic autotroph",0.212158808933002,0.468603561387067,0.162612035851472,1,0.602888086642599,0.271395749569213,0.388098318240621,0.267182962245886,0.51394422310757,0.264150943396226,0.2,0.186915887850467,0.228519195612431,0,0.286948472693613,0.272727272727273,0.166666666666667,0.380469245402663,0.15015015015015,0.0845771144278607,0.128279883381924,0.201492537313433,0.2,0,0.0630630630630631,0.222496909765142,0,0,0,0.147619047619048,0.344827586206897,0.404199475065617,0.152567601091541,0.366682397357244,0.396103896103896,0.177097203728362,0.347745234774523,0.0266153423150949,0,0.129411764705882,0.321167883211679,0.113454045381618,0,0.231511254019293,0.181818181818182,0,0.138897637795276,0.106351550960118,0.179425837320574,0,0.152572796170722,0.0278000534616413,0.106653563789814,0.0498338870431894,0.048582995951417,0,0.0658401355305714,0.5,0.149988378999561,0,0,0,0,0.115473441108545,0.288732394366197,0.833333333333333,0,0.345161290322581,0,0.0767042847967703,0,0,0,0.242424242424242,0.342831700801425,0,0,0.0301724137931034,0,0,0.261064147190453,0.0967741935483871,0.287488908606921,0,0.252962625341841,0.261958997722096,0.338983050847458,0.447305997966791,0.572655690765927,0,0,0.296442687747036,0.116006339144216,0.133828996282528,0.172413793103448,0,0.280112044817927,0.333333333333333,0.3003003003003,0.333333333333333,0.0795119899032394,0.4,0.353965183752418,0.498525073746313,0.737278106508876,0,0.251979841612671,0.113597246127367,0.0739070770437169,0.0940477159840404,0.0390136801216011,0.15729682493446,0,0.0780121352210344,0.307258064516129,0.6,1
"Bivalvia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051948051948052,0,0,0,0,0,0,0,0,0,0.0508111080560902,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106923282544774,0.0494248222440603,0.101177891875566,0.0825910931174089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0262409395357372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00509703979611841,0.0537415519908802,0.0390136801216011,0,0,0.0260040450736781,0,0,0
"Cephalopoda",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.231511254019293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cirripedia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0266153423150949,0,0,0,0,0,0,0,0,0,0,0,0,0.0269246110889509,0.0278000534616413,0.0754378865830395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0390136801216011,0.0757355083017769,0,0,0,0,0
"Decapoda",0,0,0,0,0,0.0646180356117174,0.0426908150064683,0,0.111553784860558,0.264150943396226,0,0,0,0.0958904109589041,0,0,0,0,0,0,0,0,0,0,0,0,0.127035830618892,0.207792207792208,0.222222222222222,0,0,0,0,0.0726757904672015,0,0.0878828229027963,0,0.108276051690954,0,0,0.0291970802919708,0.103827641531057,0.555555555555556,0.163987138263666,0,1,0,0.0324963072378139,0,0.769230769230769,0.0556441962504986,0.0673616680032077,0.0832418058847332,0.125339776502567,0.124696356275304,0.0709219858156028,0.110118589249961,0,0.215685768148129,0,0,0.25,0.367483296213808,0,0,0,0.417657045840407,0,0.666666666666667,0,0,0.54066985645933,0.39344262295082,0,0.0768774116948649,0.165467625899281,0.0828729281767956,0.192887931034483,0.367521367521367,0.274329783327213,0,0,0,0.21141975308642,0,0.0113895216400911,0,0.0223652998983395,0,0.223140495867769,0,0,0.063391442155309,0,0,0,0,0,0,0,0.0530079932688262,0.6,0,0,0,0,0,0.0413080895008606,0.0101940795922368,0.0537415519908802,0.105218713055227,0.124672298281387,0.608695652173913,0,0,0,0
"Detritus",0,0,0.140845070422535,0,0,0,0,0,0,0,0,0.186915887850467,0.228519195612431,0.191780821917808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0380952380952381,0.344827586206897,0,0,0,0,0.178428761651132,0,0,0,0.235294117647059,0,0,0,0,0,0,0.194015748031496,0,0,0,0,0,0.0104052257355917,0,0,0,0,0,0,0,0,0,0,0.23094688221709,0.0316901408450704,0,0,0.0451612903225807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.247831474597274,0.275862068965517,0,0.280112044817927,0.333333333333333,0.3003003003003,0.333333333333333,0,0,0,0,0,0,0.251979841612671,0,0,0,0,0,0,0,0,0,0
"Echinoidea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0738327904451683,0,0,0,0,0,0,0,0,0,0,0.0120978828704977,0,0,0,0.0584460233784094,0,0,0,0,0,0.0324963072378139,0,0,0,0,0,0,0.0145748987854251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020919175911252,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0327573794096472,0.0103270223752151,0,0,0,0.0757355083017769,0,0,0,0,0
"Foraminifera",0,0.0656044985941893,0.23303457106274,0,0.15884476534296,0.0473865594485928,0.019404915912031,0.0503388189738625,0,0.0660377358490566,0.133333333333333,0.145794392523364,0.187385740402194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114285714285714,0.00689655172413793,0,0.0496154800297693,0.0726757904672015,0,0.133155792276964,0.0715946071594607,0.164531207038768,0,0.188235294117647,0,0,0,0,0.181818181818182,0,0.0837795275590551,0.0531757754800591,0,0,0.0825688073394495,0.0812616947340283,0.130065321694896,0.0256720024161885,0.0340080971659919,0,0.198675496688742,0,0,0.319715808170515,0,0,0,0.191685912240185,0.0950704225352113,0,0,0,0,0.0504633452610331,0,0,0,0,0,0,0.142067876874507,0.105603448275862,0.170940170940171,0,0,0,0.0905057675244011,0,0.127620783956244,0.0835231586940015,0.131826741996234,0.0223652998983395,0.0400858983536149,0.148760330578512,0,0.0948616600790514,0.169255150554675,0.205700123915737,0.206896551724138,0,0.196078431372549,0,0.0990990990990991,0,0,0,0,0.141592920353982,0.0331360946745562,0,0.141108711303096,0.185886402753873,0.203881591844736,0.136796677794968,0.0780273602432022,0.0757355083017769,0,0.158913608783589,0.0338709677419355,0,0
"Gastropoda",0,0,0.0691421254801537,0,0,0,0.205692108667529,0,0,0,0,0.0411214953271028,0.0159963436928702,0.0958904109589041,0,0,0,0,0,0,0,0,0,0,0,0,0.290988056460369,0.103896103896104,0.111111111111111,0,0,0,0,0,0,0.0452729693741678,0,0.203244432224361,0,0.0235294117647059,0,0.343800137520055,0,0.231511254019293,0,0,0.138897637795276,0.242245199409158,0,0,0.123853211009174,0.213846565089548,0.166483611769466,0.151011778918756,0.369230769230769,0.141843971631206,0.0993377483443709,0,0.0852206698861142,0.142095914742451,0,0,0,0.191685912240185,0,0,0,0.067741935483871,0,0.177630975318837,0,0,0,0,0,0,0.0355169692186267,0.052801724137931,0,0,0,0,0,0.134259259259259,0.0273473108477666,0,0,0,0,0,0,0,0.148335974643423,0.0619578686493185,0,0,0,0,0,0,0.0795119899032394,0,0,0.0589970501474926,0,0,0.0151187904967603,0.134251290877797,0.16055675357773,0.10748310398176,0.0390136801216011,0.0407806583163414,0,0.184917653857267,0.0145161290322581,0,0
"Holothuroidea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0556441962504986,0,0.0104052257355917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Inorganic",0,0,0.256081946222791,0,0.15884476534296,0.0172314761631246,0,0,0,0,0.133333333333333,0.186915887850467,0.228519195612431,0.287671232876712,0,0,0,0.041851616994293,0,0,0,0,0,0,0,0,0,0,0,0,0.303448275862069,0,0,0.0726757904672015,0.0454545454545455,0.133155792276964,0,0.164531207038768,0.244716351501669,0.235294117647059,0,0,0,0,0,0,0.194015748031496,0,0,0,0.123853211009174,0.0278000534616413,0.0936470316203249,0.101177891875566,0.048582995951417,0,0.198675496688742,0,0,0,0,0.25,0,0.23094688221709,0.126760563380282,0.166666666666667,0,0,0,0.201853381044133,0,0,0,0,0.031166518254675,0.115107913669065,0.288082083662194,0.105603448275862,0.213675213675214,0.21814175541682,0,0,0.0425909494232476,0.0833333333333333,0.177757520510483,0.106302201974184,0.131826741996234,0,0,0,0,0,0.169255150554675,0.247831474597274,0.275862068965517,0,0.243697478991597,0.333333333333333,0.3003003003003,0.333333333333333,0.0795119899032394,0,0,0.253687315634218,0,0,0.125989920806336,0.196213425129088,0.242109390315624,0.217409005781288,0.0390136801216011,0.0757355083017769,0,0.262929789078301,0.0629032258064516,0,0
"Insecta",0.255228642325417,0.0656044985941893,0,0,0,0,0,0.0968054211035818,0,0,0,0,0.00914076782449726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0866141732283465,0.0347308360208385,0,0.0714285714285714,0,0.0357973035797304,0,0,0,0.0700729927007299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0501367365542388,0.0227790432801822,0,0,0,0.148760330578512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0103270223752151,0,0,0,0,0,0,0,0,0
"Medusozoa",0.255228642325417,0,0,0,0,0.254164273406088,0.019404915912031,0.193610842207164,0,0,0,0.0616822429906542,0.00914076782449726,0,0.17587164455415,0.272727272727273,0,0.041851616994293,0,0.248756218905473,0.0641399416909621,0,0,0,0,0.296662546353523,0,0,0,0,0,0,0.481270156288762,0,0.194805194805195,0,0.0357973035797304,0,0,0,0.256934306569343,0,0,0,0,0,0.0286614173228346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0316901408450704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118349080059672,0,0.133096716947649,0,0.0501367365542388,0.0721336370539104,0.051789077212806,0.126736699423924,0.0400858983536149,0,0,0,0.020919175911252,0,0,0,0,0,0,0,0,0,0,0.0117994100294985,0,0,0,0,0,0.0268707759954401,0,0,0,0,0.0145161290322581,0,0
"Ophiuroidea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.290988056460369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0534616412723871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0997328584149599,0.230215827338129,0,0.052801724137931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0151187904967603,0,0,0,0,0,0,0.104016180294713,0,0,0
"Phytoplankton",0,0,0,0,0,0.0172314761631246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0633802816901408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118349080059672,0,0.308784383318545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Polyplacophora",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0958904109589041,0,0,0,0,0,0,0,0,0,0,0,0,0.143322475570033,0,0,0,0,0,0,0,0,0.0452729693741678,0,0.077426450371185,0,0,0,0.113454045381618,0,0,0,0,0,0.162481536189069,0,0,0.179497407259673,0.188184977278802,0.0832418058847332,0.151011778918756,0.116599190283401,0.0709219858156028,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127167630057803,0,0,0,0,0.068566340160285,0.115107913669065,0,0,0,0.112376055820786,0,0,0,0.277777777777778,0,0,0,0,0,0,0,0,0.041838351822504,0,0,0,0,0,0,0,0.106015986537652,0,0,0,0,0,0,0,0,0.0268707759954401,0.315656139165681,0.0757355083017769,0,0,0,0,0
"Porifera",0,0,0.115236875800256,0,0.0794223826714801,0.0172314761631246,0,0.0503388189738625,0,0,0,0.104672897196262,0.0479890310786106,0.0958904109589041,0,0,0,0.0837032339885859,0.3003003003003,0,0,0,0,0,0,0.0741656365883807,0,0,0,0,0,0,0.0347308360208385,0,0.0454545454545455,0,0.219897721989772,0.0629089909265878,0,0.164705882352941,0.035036496350365,0,0,0,0.0909090909090909,0,0.0551181102362205,0,0,0,0.0412844036697248,0.0534616412723871,0.0364182900745708,0.0755058894593778,0,0.283687943262411,0.0323425227167719,0,0,0,0,0,0,0,0.0633802816901408,0,0,0.0451612903225807,0,0,0,0,0,0,0.031166518254675,0,0,0,0,0,0,0,0.0425909494232476,0,0.100273473108478,0.223993925588459,0.131826741996234,0.0745509996611318,0,0,0,0,0.106497622820919,0.0619578686493185,0.0689655172413793,0,0,0,0,0,0,0,0.386847195357834,0.0117994100294985,0.140828402366864,0,0.078113750899928,0.0309810671256454,0.0382277984708881,0,0,0.0407806583163414,0,0,0.483870967741935,0,0
"Pycnogonida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0357973035797304,0,0,0,0,0,0,0,0,0,0.0286614173228346,0.0324963072378139,0,0,0,0,0,0.0256720024161885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0282485875706215,0.0223652998983395,0,0,0,0,0,0,0,0,0,0,0,0,0.265039966344131,0,0,0,0,0,0,0.0516351118760757,0.0560674377573025,0.0268707759954401,0,0,0,0,0.0145161290322581,0,0
"Stomatopoda",0,0,0,0,0,0,0,0.0503388189738625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051948051948052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0498338870431894,0,0.0709219858156028,0.066995225627599,0,0,0,0,0,0.173719376391982,0,0,0,0.0916808149405772,0,0,0,0,0,0,0,0.031166518254675,0.115107913669065,0,0.135775862068965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0537415519908802,0.0390136801216011,0.0407806583163414,0,0,0,0,0
"Worm",0.154732364409784,0.0656044985941893,0,0,0,0.11200459506031,0.14359637774903,0.0503388189738625,0,0.0660377358490566,0,0,0.00914076782449726,0,0.228633137920395,0.113636363636364,0,0.157894736842105,0.0990990990990991,0.0845771144278607,0.160349854227405,0,0,0,0,0.177997527812114,0,0.051948051948052,0,0,0,0,0.0669808980401885,0.0726757904672015,0.0562770562770563,0.0878828229027963,0.0715946071594607,0.0508111080560902,0,0,0.0817518248175182,0.0584460233784094,0,0,0,0,0.0418897637795276,0.259970457902511,0,0.230769230769231,0.0735939369764659,0.0812616947340283,0.0447424706630441,0.0634249471458774,0.0275303643724696,0.141843971631206,0.0993377483443708,0,0.170441339772228,0,0,0,0,0,0.257042253521127,0,0.32597623089983,0.135483870967742,0,0.176621708413616,0.5,0,0.255737704918033,0,0.14128821608786,0.0863309352517986,0.288082083662194,0.0678879310344827,0,0.112376055820786,0.0556936847339632,0,0,0.0833333333333333,0.0592525068368277,0.0227790432801822,0.051789077212806,0.063368349711962,0.0400858983536149,0.148760330578512,0,0,0.05229793977813,0,0,0,0,0,0,0,0.200252419015566,0,0.0657640232108317,0,0,0,0,0.129087779690189,0.0866496765340129,0.0724696685937627,0.13832122952204,0.0786484124672298,0,0.0433400751227969,0,0,0
"Zooplankton",0.122651542006381,0.133083411433927,0.0230473751600512,0,0,0.134118322802987,0.18111254851229,0.190706679574056,0.374501992031873,0.141509433962264,0.133333333333333,0.0859813084112149,0.026508226691042,0.136986301369863,0.0941067571737118,0.0681818181818182,0,0.0558021559923906,0.201201201201201,0.0845771144278607,0.128279883381924,0.0522388059701493,0,0.0384615384615385,0.036036036036036,0.0618046971569839,0.0738327904451683,0.0649350649350649,0,0.114285714285714,0,0.509186351706037,0.165219548499132,0.124587069372345,0.19047619047619,0.066577896138482,0.145978614597861,0.0521308770965081,0.755283648498332,0.0235294117647059,0.135766423357664,0.0951180380472152,0,0,0.0909090909090909,0,0.0674015748031496,0.0782865583456425,0.102870813397129,0,0.0845632229756681,0.0708366746859129,0.0994277125845425,0.080338266384778,0.0995951417004048,0.219858156028369,0.128677036808871,0,0.128683211528032,0.319715808170515,0.285714285714286,0,0.173719376391982,0.0392609699769053,0.0422535211267606,0,0.164685908319185,0.148387096774194,0.333333333333333,0.112854390311038,0.5,0.272727272727273,0.350819672131148,0.0378787878787879,0.127337488869101,0.0575539568345324,0.0923441199684294,0.135775862068965,0.205128205128205,0.282776349614396,0.0984584783689707,0.158808933002481,0.0949423247559893,0.209876543209877,0.154512306289881,0.0660592255125285,0.105461393596987,0.220942053541172,0.307086614173228,0.330578512396694,1,0.608695652173913,0.091283676703645,0.0408921933085502,0,0,0,0,0,0,0.137147665124106,0,0.127659574468085,0.023598820058997,0.0556213017751479,0,0.0248380129589633,0.0860585197934595,0.0927269162909234,0.129956843905219,0.0896807971626415,0.097582289542674,0.391304347826087,0.141866512568622,0.0370967741935484,0.4,0
