"","Abudefduf sexfasciatus","Abudefduf vaigiensis","Acanthurus dussumieri","Amblyglyphidodon curacao","Amblygobius albimaculatus","Amphiprion clarkii","Amphiprion frenatus","Amphiprion ocellaris","Arothron nigropunctatus","Asterropteryx semipunctata","Atrosalarias holomelas","Callogobius hasseltii","Chaetodon auriga","Chaetodon auripes","Chaetodon bennetti","Chaetodon citrinellus","Chaetodon ephippium","Chaetodon lineolatus","Chaetodon lunula","Chaetodon plebeius","Chaetodon speculum","Chaetodon trifascialis","Chaetodon trifasciatus","Chaetodon vagabundus","Cheilinus trilobatus","Cheilio inermis","Cheilodipterus quinquelineatus","Cheiloprion labiatus","Chromis atripectoralis","Chromis caerulea","Chrysiptera brownriggii","Chrysiptera cyanea","Chrysiptera glauca","Chrysiptera rex","Coris variegata","Corythoichthys haematopterus","Ctenochaetus striatus","Dascyllus aruanus","Diodon liturosus","Epibulus insidiator","Epinephelus merra","Exallias brevis","Fowleria aurita","Fusigobius neophytus","Gnathodentex aureolineatus","Gobiodon citrinus","Gomphosus varius","Halichoeres marginatus","Halichoeres melanochir","Halichoeres melanurus","Halichoeres nebulosus","Halichoeres trimaculatus","Hemigymnus fasciatus","Hemigymnus melapterus","Heniochus chrysostomus","Labracinus cyclophthalmus","Labracinus melanotaenia","Labrichthys unilineatus","Labroides dimidiatus","Lethrinus genivittatus","Lutjanus fulviflamma","Macropharyngodon meleagris","Meiacanthus kamoharai","Nectamia fusca","Neoglyphidodon melas","Neoniphon sammara","Neosynchiropus ocellatus","Ostorhinchus aroubiensis","Ostorhinchus cookii","Ostorhinchus cyanosoma","Oxymonacanthus longirostris","Parapercis cylindrica","Parapercis hexophtalma","Parupeneus barberinus","Parupeneus spilurus","Parupeneus trifasciatus","Plectorhinchus diagrammus","Plectroglyphidodon dickii","Plectroglyphidodon johnstonianus","Plectroglyphidodon lacrymatus","Plesiops coeruleolineatus","Pomacentrus amboinensis","Pomacentrus chrysurus","Pomacentrus littoralis","Pomacentrus moluccensis","Pomachromis richardsoni","Pseudochromis tapeinosoma","Ptereleotris evides","Ptereleotris microlepis","Rhinecanthus aculeatus","Salarias fasciatus","Saurida gracilis","Scolopsis lineata","Scorpaenodes kelloggi","Siganus punctatus","Siganus spinus","Siganus virgatus","Sphyraena barracuda","Stegastes nigricans","Stethojulis bandanensis","Stethojulis strigiventer","Stethojulis trilineata","Thalassoma hardwicke","Thalassoma lunare","Upeneus tragula","Valenciennea longipinnis","Zanclus cornutus","Zebrasoma scopas"
"Actinopterygii",0.0661290322580645,0.298755186721992,0.2,0.139317773788151,0,0.186188552851936,0.339791356184799,0.121951219512195,0,0,0.145695364238411,0.161290322580645,0,0,0,0.148481439820022,0,0,0,0,0,0,0,0.140845070422535,0.0738327904451683,0.523255813953488,0.444444444444444,0,0.18348623853211,0.0811311555338859,0.28,0.159010600706714,0.0923913043478261,0.21580547112462,0.0783566285472258,0,0,0.140901771336554,0.143947655398037,0.444444444444444,0.184100418410042,0.166666666666667,0,0,0.0368385800401875,0,0,0.0355169692186267,0.0463522304832714,0.104239054899236,0.0687213660974594,0.0708661417322835,0,0,0,0.348949919224556,0.473404255319149,0,0.352941176470588,0.666666666666667,0.471889400921659,0,0,0.110648918469218,0.12625250501002,0,0.100435219283562,0.333333333333333,0.191983122362869,0.113821138211382,0,0.0856895556837853,0.167300380228137,0,0.185899567675424,0.0677966101694915,0,0.250950570342205,0.184115523465704,0.186813186813187,0,0.238163558106169,0.153267784846732,0,0.194539249146758,0.380722891566265,0.113821138211382,0,0.160975609756098,0,0.204819277108434,1,0,0,0.253731343283582,0.0909090909090909,0.263513513513514,1,0.216704288939052,0.0479634564141606,0.0493319630010277,0.100282179292381,0.155910908052541,0.258899676375405,0,0,0,0
"Anthozoa",0,0,0,0,0,0,0,0.219512195121951,0.75,0,0,0,0.295618885580604,0.387096774193548,1,0.348706411698538,0.71551724137931,0.543478260869565,0.698039215686274,1,0.75,0.961538461538461,0.961538461538461,0.211267605633803,0,0,0.222222222222222,0.836734693877551,0,0,0.24,0,0.0923913043478261,0,0,0,0,0,0,0,0,0.833333333333333,0,0,0,0.843881856540084,0,0,0,0.0166782487838777,0,0.0413385826771654,0,0,1,0,0,0.605911330049261,0,0,0,0,0,0,0.198396793587174,0,0,0,0.191983122362869,0,1,0,0,0.108043217286915,0,0,0,0.380228136882129,0.72202166064982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0812641083521445,0,0,0,0.0439748715019989,0.0604099244875944,0,0,0.295454545454545,0
"Appendicularia",0.0806451612903226,0.116182572614108,0,0.159425493716338,0,0.260072899221752,0.256333830104322,0.146341463414634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18348623853211,0.214529497805948,0,0.23321554770318,0,0.303951367781155,0,0,0,0.0845410628019324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12625250501002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.189383070301291,0.268941584731058,0.0837209302325581,0.225255972696246,0.139759036144578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arachnida",0,0,0,0,0,0.0384198601123042,0,0,0,0,0.0529801324503311,0,0,0,0,0.0742407199100112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0425531914893617,0,0,0,0.0241545893719807,0,0,0,0,0,0.0587703435804702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.050217609641781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0837209302325581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0159878188047202,0.0493319630010277,0,0,0,0,0,0,0
"Bivalvia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0581395348837209,0,0,0,0,0,0,0,0,0.0889453621346887,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121979553903346,0.079221681723419,0.139525197834236,0.100393700787402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0261131570137261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00822199383350463,0.0668547861949208,0.0439748715019989,0,0,0.0293569431500466,0,0
"Cephalopoda",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.301255230125523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Echinoidea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0738327904451683,0,0,0,0,0,0,0,0,0,0.0211774671749259,0,0,0,0.074154852780807,0,0,0,0,0,0.0368385800401875,0,0,0,0,0,0,0.0177165354330709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0378494623655914,0,0,0,0,0,0,0,0,0.17607223476298,0.0159878188047202,0,0,0,0.112189859762675,0,0,0,0
"Gastropoda",0,0,0.6,0,0.21327967806841,0,0,0,0,0.107142857142857,0.0927152317880795,0.161290322580645,0,0,0,0,0,0,0,0,0,0,0,0,0.290988056460369,0.116279069767442,0.111111111111111,0,0,0,0,0,0.0923913043478261,0,0.355781448538755,0,0.333333333333333,0,0.436205016357688,0,0.301255230125523,0,0,0.284810126582278,0.274614869390489,0,0,0.163378058405683,0.243959107806691,0.266851980542043,0.208246563931695,0.448818897637795,0.148760330578512,0.180335507921715,0,0.135702746365105,0.175531914893617,0.394088669950739,0,0,0,0.83,0,0,0.06312625250501,0,0.176765985939069,0,0,0,0,0,0,0.0540216086434574,0.0907881609577652,0,0,0,0,0,0.14917695473251,0.0344332855093257,0,0,0,0,0,0,0,0.268387096774194,0.301204819277108,0,0.0791788856304985,0,0,0.454545454545455,0,0,0.0812641083521445,0.207841644461363,0.258992805755396,0.133709572389842,0.0439748715019989,0.0862998921251348,0,0.208760484622554,0.136363636363636,0
"Hexanauplia",0.154838709677419,0.352697095435685,0.2,0.286535008976661,0.243460764587525,0.19269037533248,0.320417287630402,0.25609756097561,0,0.297077922077922,0.423841059602649,0.32258064516129,0.0957039557635049,0,0,0.0742407199100112,0,0,0,0,0,0.0384615384615385,0.0384615384615385,0,0,0.116279069767442,0,0.163265306122449,0.434862385321101,0.210141394441736,0.24,0.235865724381625,0.179347826086957,0.182370820668693,0.0974163490046591,0.445368171021378,0.333333333333333,0.251207729468599,0,0,0,0,0,0.339059674502712,0,0.156118143459916,0,0.0670876085240726,0.0618029739776952,0.14593467685893,0.0687213660974594,0,0.223140495867769,0.239049394221808,0,0,0,0,0.294117647058824,0,0,0.17,0.152542372881356,0.122296173044925,0.188376753507014,0,0.113491797790425,0,0.191983122362869,0.373983739837398,0,0.30467397576457,0,0.162064825930372,0.142667110076488,0.508474576271186,0.435754189944134,0.0950570342205323,0.0938628158844765,0.362637362637363,0.210905349794239,0.27116212338594,0.234239444765761,0.441860465116279,0.319112627986348,0.36144578313253,0.284552845528455,0.939393939393939,0.839024390243903,0.190967741935484,0.397590361445783,0,0.146627565982405,0,0,0.272727272727273,0.344594594594595,0,0.169300225733634,0.165207460982109,0.140801644398767,0.202083785543738,0.0439748715019989,0.101402373247033,0.307692307692308,0.192451071761417,0,1
"Holothuroidea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0734017363851618,0,0.0166782487838777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hydrozoa",0.258064516129032,0,0,0.254219030520646,0.0201207243460765,0.147768692739632,0,0,0,0.160714285714286,0.0529801324503311,0,0.242450021267546,0.387096774193548,0,0.0742407199100112,0,0.271739130434783,0.0862745098039216,0,0,0,0,0.375586854460094,0,0,0,0,0,0.378352023403218,0,0.159010600706714,0,0.0425531914893617,0,0,0,0.265700483091787,0,0,0,0,0,0.0587703435804702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076271186440678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.129277566539924,0,0.274725274725275,0,0.0631276901004304,0.164835164835165,0.153488372093023,0.116040955631399,0.0337349397590361,0,0,0,0.0378494623655914,0,0,0,0,0,0.0909090909090909,0,0,0,0,0,0.0334273930974604,0,0,0,0,0.136363636363636,0
"Insecta",0.258064516129032,0.116182572614108,0,0,0,0.0738843463698158,0,0,0,0,0.0529801324503311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0440366972477064,0.0273037542662116,0,0.0583038869257951,0,0.0425531914893617,0,0,0,0.072463768115942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0631276901004304,0.0520532099479468,0,0,0,0.113821138211382,0,0,0,0,0,0,0,0,0,0,0,0,0.0159878188047202,0,0,0,0,0,0,0,0
"Malacostraca",0.0258064516129032,0,0,0.0484739676840215,0.140845070422535,0.0625554132597774,0.0834575260804769,0.182926829268293,0.25,0.162337662337662,0.0728476821192053,0.193548387096774,0.0510421097405359,0.0645161290322581,0,0,0,0.0923913043478261,0,0,0,0,0,0.0469483568075117,0.127035830618892,0.127906976744186,0.222222222222222,0,0.154128440366972,0.0358849341784495,0.12,0.0874558303886926,0.179347826086957,0.0425531914893617,0.133841592545532,0.423990498812352,0,0.0523349436392915,0.127589967284624,0.555555555555556,0.213389121338912,0,1,0.113924050632911,0.0991292699263228,0,0.769230769230769,0.15982636148382,0.0965381040892193,0.151494093120222,0.131611828404831,0.145669291338583,0.181818181818182,0.219944082013048,0,0.273021001615509,0.351063829787234,0,0.352941176470588,0.333333333333333,0.528110599078341,0,0.076271186440678,0.289517470881864,0.129258517034068,1,0.130231001004352,0.333333333333333,0.424050632911392,0.300813008130081,0,0.136757068667051,0.20532319391635,0.129651860744298,0.321250415696708,0.423728813559322,0.31098696461825,0.0836501901140684,0,0.0879120879120879,0.238683127572016,0.0659971305595409,0.0746096009253904,0,0.0665529010238908,0.0506024096385542,0.260162601626016,0.0606060606060606,0,0.143225806451613,0.0963855421686747,0,0.152492668621701,1,0.492537313432836,0.0909090909090909,0.22972972972973,0,0.112866817155756,0.139322421012562,0.123329907502569,0.144562622096809,0.0885208452312964,0.15210355987055,0.692307692307692,0.135601118359739,0.295454545454545,0
"Ophiuroidea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.290988056460369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0609897769516729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152336987882285,0.334600760456274,0,0.0907881609577652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0812641083521445,0,0,0,0,0,0,0.117427772600186,0,0
"Ostracoda",0,0,0,0,0.233400402414487,0,0,0,0,0.272727272727273,0.0529801324503311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0212014134275618,0.0923913043478261,0,0,0.130641330166271,0.333333333333333,0,0,0,0,0,0,0,0.0368385800401875,0,0,0.127861089187056,0,0,0,0,0.223140495867769,0.180335507921715,0,0,0,0,0,0,0,0,0.076271186440678,0.104825291181364,0.0420841683366734,0,0.100435219283562,0,0,0,0,0,0,0.108043217286915,0.051878949118723,0,0,0,0,0.0879120879120879,0,0,0,0,0,0,0.113821138211382,0,0,0.151397849462366,0,0,0.0527859237536657,0,0,0,0.162162162162162,0,0.0812641083521445,0.111914731633041,0.139773895169579,0.133709572389842,0,0,0,0.267474370922647,0,0
"Polychaeta",0.156451612903226,0.116182572614108,0,0.112028725314183,0.148893360160966,0.0384198601123042,0,0.0731707317073171,0,0,0.0529801324503311,0,0.315185027647809,0.161290322580645,0,0.280089988751406,0.28448275862069,0.0923913043478261,0.215686274509804,0,0,0,0,0.225352112676056,0,0.0581395348837209,0,0,0,0.052657240370551,0.12,0.0459363957597173,0.179347826086957,0.0851063829787234,0.0889453621346887,0,0,0.108695652173913,0.074154852780807,0,0,0,0,0.0858951175406872,0.2947086403215,0,0.230769230769231,0.136148382004736,0.153694237918216,0.0854760250173732,0.139525197834236,0.0334645669291339,0.148760330578512,0.180335507921715,0,0.24232633279483,0,0,0,0,0,0,0.61864406779661,0.372712146422629,0.12625250501002,0,0.175761633746234,0.333333333333333,0,0.211382113821138,0,0.215810732833237,0.125475285171103,0.438175270108043,0.116727635517127,0,0.126629422718808,0.0608365019011407,0,0,0.0925925925925926,0.0746054519368723,0.0520532099479468,0.153488372093023,0.0580204778156997,0.0337349397590361,0.113821138211382,0,0,0.0946236559139785,0,0,0.19941348973607,0,0.253731343283582,0,0,0,0,0.199847735059003,0.139773895169579,0.118515302800087,0.223872073101085,0.116504854368932,0,0.048928238583411,0,0
"Polyplacophora",0,0,0,0,0,0,0,0,0,0,0,0.161290322580645,0,0,0,0,0,0,0,0,0,0,0,0,0.143322475570033,0,0,0,0,0,0,0,0.0923913043478261,0,0.135535789919526,0,0,0,0.143947655398037,0,0,0,0,0,0.184192900200938,0,0,0.236779794790844,0.214684014869888,0.133425990271022,0.208246563931695,0.141732283464567,0.0743801652892562,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126548376297288,0,0,0,0,0.104731679169071,0.167300380228137,0,0,0,0.126629422718808,0,0,0,0.308641975308642,0,0,0,0,0,0,0,0,0.0756989247311828,0,0,0.105571847507331,0,0,0,0,0,0,0,0,0.0334273930974604,0.355796687607082,0.112189859762675,0,0,0,0
"Pycnogonida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0425531914893617,0,0,0,0,0,0,0,0,0,0.0587703435804702,0.0368385800401875,0,0,0,0,0,0.0354019158683882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0837209302325581,0.0204778156996587,0,0,0,0,0,0,0,0.263929618768328,0,0,0,0,0,0,0.0799390940236011,0.0904419321685509,0.0334273930974604,0,0,0,0,0.136363636363636,0
