"","Abudefduf sexfasciatus","Abudefduf sparoides","Acanthurus triostegus","Amanses scopas","Amblygobius sphynx","Amphiprion akallopisos","Amphiprion latifasciatus","Antennablennius velifer","Apogonichthyoides timorensis","Arothron hispidus","Arothron immaculatus","Arothron nigropunctatus","Asterropteryx semipunctata","Balistapus undulatus","Blenniella periophthalmus","Bothus pantherinus","Calotomus spinidens","Cantherhines sandwichiensis","Canthigaster margaritata","Canthigaster valentini","Centropyge bispinosa","Cephalopholis argus","Chaetodon auriga","Chaetodon blackburnii","Chaetodon guttatissimus","Chaetodon melannotus","Chaetodon trifasciatus","Chaetodon vagabundus","Cheilinus trilobatus","Cheilio inermis","Cheilodipterus quinquelineatus","Chlorurus sordidus","Chromis dimidiata","Chromis ternatensis","Chromis weberi","Chrysiptera annulata","Chrysiptera biocellata","Chrysiptera brownriggii","Cirripectes variolosus","Cociella crocodilus","Conger cinereus","Coris caudimacula","Corythoichthys intestinalis","Ctenochaetus striatus","Dascyllus aruanus","Dascyllus trimaculatus","Dinematichthys iluocoeteoides","Diplogrammus infulatus","Echelus uropterus","Echidna polyzona","Enneapterygius hemimelas","Epinephelus fasciatus","Epinephelus hexagonatus","Epinephelus longispinis","Epinephelus macrospilos","Epinephelus merra","Eviota prasina","Foa brachygramma","Fowleria aurita","Fusigobius neophytus","Gnatholepis cauerensis","Gomphosus varius","Grammistes sexlineatus","Gymnothorax undulatus","Halichoeres hortulanus","Halichoeres scapularis","Halichoeres timorensis","Haliophis guttatus","Hippichthys cyanospilos","Istiblennius edentulus","Istigobius spence","Labroides dimidiatus","Leiuranus semicinctus","Lepadichthys coccinotaenia","Leptoscarus vaigiensis","Lethrinus crocineus","Lethrinus harak","Lethrinus obsoletus","Lutjanus fulviflamma","Lutjanus gibbus","Lutjanus johnii","Moringua microchir","Myripristis murdjan","Nectamia savayensis","Neoniphon sammara","Novaculoides macrolepidotus","Oplopomus oplopomus","Ostorhinchus angustatus","Ostorhinchus cyanosoma","Ostorhinchus endekataenia","Ostracion meleagris","Oxycheilinus bimaculatus","Parascorpaena aurita","Parascorpaena picta","Parupeneus barberinus","Parupeneus macronemus","Pempheris oualensis","Pervagor melanocephalus","Petroscirtes mitratus","Plagiotremus rhinorhynchos","Plectorhinchus gaterinus","Plectroglyphidodon dickii","Plectroglyphidodon lacrymatus","Plesiops coeruleolineatus","Pomacanthus chrysurus","Pomacanthus semicirculatus","Pomacentrus caeruleus","Pomacentrus sulfureus","Pomacentrus tripunctatus","Pristiapogon fraenatus","Pristiapogon kallopterus","Pseudocheilinus hexataenia","Pseudochromis natalensis","Pseudogramma polyacantha","Pteragogus flagellifer","Pterois volitans","Rhinecanthus aculeatus","Salarias fasciatus","Salarias sinuosus","Sargocentron diadema","Saurida gracilis","Scarus sp","Scorpaenodes guamensis","Scorpaenopsis gibbosa","Sebastapistes cyanostigma","Sebastapistes nuchalis","Sebastapistes strongia","Siganus canaliculatus","Stegastes fasciolatus","Stethojulis balteata","Stethojulis strigiventer","Sufflamen chrysopterum","Syngnathoides biaculeatus","Synodus variegatus","Taeniamia fucata","Thalassoma hardwicke","Thalassoma hebraicum","Vanderhorstia ornatissima","Zebrasoma flavescens"
"Actinopterygii",0,0.105963367217876,0,0,0,0,0,0,0.108564535585042,0,0,0,0,0.0315063997374467,0,0.313384113166485,0,0,0.00638411065791807,0,0,0.781115879828326,0,0,0,0,0,0,0,0.198795180722892,0.191881918819188,0,0,0,0.0344168260038241,0,0.0180025717959709,0,0,0.818181818181818,0.538775510204082,0,0,0,0,0,0.0862533692722372,0,0.285714285714286,0,0,0.6,0.6,0.341685649202733,0.25,0.435575109993715,0,0,0.0779944289693593,0,0,0,0.478260869565217,0.12,0,0.0283630470016207,0,0.120300751879699,0,0,0,0.421725239616613,0,0,0,0,0.0671140939597315,0,0.219487861656136,0,0.119718309859155,0,0.2269607127209,0,0.138621486330381,0,0.0123102174805088,0.209639681796912,0,0.0204823096242472,0,0,0.117498950902224,0,0,0.0579710144927536,0.0886615515771526,0,0,0.771186440677966,0,0,0.0700220195029884,0.191489361702128,0,0,0,0.0904729266620973,0.07178008649401,0,0.133333333333333,0,0,0,0,0.434108527131783,0,0,0,0.0230086556371206,0.849557522123894,0,0,1,0,0.102272727272727,0.12112036336109,0,0,0,0.0069960647135986,0.0158870255957635,0,0.860262008733624,0.0746500777604977,0.116357504215852,0.0465017966603255,0.106132075471698,0
"Anthozoa",0,0,0,1,0,0.240896358543417,0,0,0,0,0,0.168674698795181,0,0.0334755497210371,0,0,0,0.0204379562043796,0.102145770526689,0.0257466529351184,0.0105820105820106,0,0.318515797207935,0.123052959501558,0.866666666666667,1,1,0.305472038484666,0,0,0,0,0,0,0,0.028125,0.0495070724389199,0.0487364620938628,0,0,0,0,0,0,0.0662129851020783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0420806545879603,0,0,0,0.354609929078014,0.0171752123309217,0,0.0339321357285429,0,0,0.0109664153529815,0.0377789928915842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0464876033057851,0,0,0,0,0,0,0,0,0,0
"Arachnida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115350488021295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0328992460589445,0.00755579857831685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Benthic autotroph",0.264864864864865,0.249683796317984,0.971153846153846,0,0.309119010819165,0.481792717086835,0.468994267847837,0.388020833333333,0.0434258142340169,0.265402843601896,0.165874405804353,0.072289156626506,0.357624831309042,0.0984574991795208,0.301136363636364,0,0.617021276595745,0.125547445255474,0.141869125731513,0.190525231719876,0.264550264550265,0,0.0220426157237326,0.165109034267913,0,0,0,0.0288634996993385,0,0,0,0.574712643678161,0.595783684692942,0.160819865983445,0.154875717017208,0.46875,0.441063009001286,0.438628158844765,0.27441606337932,0,0,0,0,1,0.355894794923671,0.264936422226093,0,0.239114391143911,0,0,0,0,0,0,0,0,0.141969831410825,0,0,0.0429082240762813,0.350756533700138,0,0,0,0.0198675496688742,0,0.0198511166253102,0,0,0.50125313283208,0.316301703163017,0,0,0,0.788381742738589,0,0,0,0,0,0,0,0,0,0.0385059684251059,0,0.215428805908904,0,0,0,0.157894736842105,0,0,0,0,0,0,0.0911747516072472,0.602106495026331,0,0,0.40661938534279,0.26159169550173,0,0.132734530938124,0.259067357512953,0.356709956709957,0.19374000456934,0.286175871153751,0,0,0,0,0,0,0,0,0.498305084745763,0.280082987551867,0.0460173112742413,0,1,0,0,0,0,0,0.704507512520868,0.516528925619835,0,0,0.0158870255957635,0,0,0,0.015177065767285,0.0169097442401184,0,1
"Bivalvia",0,0.00730781842881904,0,0,0.0154559505409583,0,0,0,0,0.0477725118483412,0.099074305729297,0,0,0.0551361995405317,0,0,0,0.0832116788321168,0,0,0,0,0,0,0,0,0,0,0.16953642384106,0,0,0,0.0183318056828598,0.0938115884903429,0.189292543021032,0,0,0,0,0,0,0.276877761413844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0429082240762813,0.0206327372764787,0,0,0,0.0913907284768212,0.158833063209076,0.138957816377171,0,0,0,0,0.0575079872204473,0,0,0,0,0,0,0.0099767209843698,0.0216928142552779,0,0,0.0245362932671243,0,0,0,0.0123102174805088,0,0,0,0.0526315789473684,0,0,0,0.01875,0.0579710144927536,0,0.0771478667445938,0.0163838502047981,0,0,0.0567375886524823,0,0,0,0,0.0484848484848485,0,0,0,0,0,0,0,0.10989010989011,0,0,0,0,0,0,0,0,0,0,0,0,0.0200333889816361,0,0,0.0244862264975951,0.176522506619594,0,0,0,0,0.0549566687803847,0,0
"Bryozoa",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0433212996389892,0,0,0,0.103649635036496,0,0.0798146240988672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0578609000584454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0158870255957635,0,0,0,0,0,0,0
"Cephalopoda",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014760147601476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0879949717159019,0,0,0,0,0,0,0,0.127058823529412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0199534419687396,0,0,0,0.0644077698262012,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0136402387041773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cirripedia",0,0.0255773645008666,0,0,0,0,0,0.0364583333333333,0,0,0,0.144578313253012,0,0.0925500492287496,0,0,0,0,0,0,0.0740740740740741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028125,0.0180025717959709,0.0379061371841155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0198511166253102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0140268848626534,0,0,0,0,0,0,0.0339321357285429,0.0854922279792746,0,0.026045236463331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0158870255957635,0,0,0,0,0.00845487212005919,0,0
"Decapoda",0.311111111111111,0.00730781842881904,0,0,0.071097372488408,0.0784313725490196,0,0,0.329312424607961,0.131374407582938,0.0880660495371529,0,0.0506072874493927,0.0433212996389892,0,0.375408052230686,0,0.0204379562043796,0.00851214754389076,0.00772399588053553,0,0.175965665236052,0.0110213078618663,0.0124610591900312,0,0,0,0,0.190728476821192,0.168674698795181,0.535055350553506,0,0,0,0,0.121875,0,0,0,0.181818181818182,0.306122448979592,0.206185567010309,0.558312655086849,0,0,0,0.388140161725067,0.101845018450185,0.428571428571429,0.666666666666667,0.086767895878525,0.4,0.2,0.378132118451025,0.25,0.212445003142678,0.0177462289263531,0.30379746835443,0.532033426183844,0.0429082240762813,0.0220082530949106,0.255230125523013,0.405797101449275,0.498823529411765,0.157615894039735,0.147487844408428,0.120347394540943,0.654135338345865,0.186666666666667,0,0.145985401459854,0,0,0,0,0.0990990990990991,0.214765100671141,0.107142857142857,0.482873295643499,0.158047646717025,0.528169014084507,0.0947867298578199,0.144150722944355,0,0.374278013092029,0.205128205128205,0.0348789495281083,0.134300421151146,0.284090909090909,0.158006388529907,0.0526315789473684,0.189393939393939,0.347461183382291,0.6,0.259375,0.236024844720497,0.0630861040068201,0.0140268848626534,0,0,0.280772325020113,0.0567375886524823,0.0528468071720667,0.231678486997636,0.0339321357285429,0.0284974093264249,0,0.0178204249485949,0.0453347914699011,0.201773835920177,0.408333333333333,0.136612021857924,0.242685025817556,0.81981981981982,0.164835164835165,0.364341085271318,0.154891304347826,0,0,0.209269201270954,0.150442477876106,0,0.571428571428571,0,1,0.536931818181818,0.420893262679788,0.0200333889816361,0,0.0424242424242424,0.0262352426759948,0.0641365107384525,1,0.139737991266376,0.205287713841369,0.0741989881956155,0.0644683999154513,0.0471698113207547,0
"Detritus",0.264864864864865,0.146156368576381,0,0,0,0,0,0,0,0,0.0330247685764323,0,0,0,0,0,0,0,0,0,0,0,0.0110213078618663,0.0872274143302181,0,0,0,0.0541190619362598,0,0,0,0,0,0.207725660228616,0.0860420650095602,0,0,0,0,0,0,0,0,0,0.0926981791429097,0.0769900714161296,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200238379022646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.178125,0.0579710144927536,0,0,0,0,0,0,0.181000314564328,0,0,0,0.0484848484848485,0,0.07178008649401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Echinoidea",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0669510994420742,0,0,0,0,0.0553289590352899,0.0437693099897013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075,0.00900128589798543,0.0108303249097473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0556291390728477,0,0.0347394540942928,0,0,0,0,0,0,0.872727272727273,0,0,0,0,0.0199534419687396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00701344243132671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11297440423654,0,0,0,0.015177065767285,0,0,0
