site_code;item_raw;item_phylum;item_class;item_ord;item_fam;grp1;grp3;grp6;grp7
vir;Fish;Chordata;Actinopterygii;NA;NA;Actinopterygii;Actinopterygii;Actinopterygii;Actinopterygii
vir;Cephalopods;Mollusca;Cephalopoda;NA;NA;Cephalopoda;Cephalopoda;Cephalopoda;Cephalopoda
vir;Aspidosiphon_sp;Sipuncula;Phascolosomatidea;Aspidosiphonida;Aspidosiphonidae;Sipuncula;Sipuncula;Worm;Worm
vir;Crab;Arthropoda;Malacostraca;Decapoda;NA;Brachyura;Malacostraca;Decapoda;Decapoda
vir;Polychaetes;Annelida;Polychaeta;NA;NA;Annelida;Annelida;Worm;Worm
vir;Asaphis_deflorata;Mollusca;Bivalvia;Veneroida;Psammobiidae;Bivalvia;Bivalvia;Bivalvia;Bivalvia
vir;Shrimp;Arthropoda;Malacostraca;Decapoda;NA;Shrimp;Malacostraca;Decapoda;Decapoda
vir;Hemichordates;Hemichordata;NA;NA;NA;Hemichordata;Hemichordata;Worm;Worm
vir;Stomatopod;Arthropoda;Malacostraca;Stomatopoda;NA;Stomatopoda;Malacostraca;Stomatopoda;Stomatopoda
vir;Gastropods;Mollusca;Gastropoda;NA;NA;Gastropoda;Gastropoda;Gastropoda;Gastropoda
vir;Pelecypod;Mollusca;Bivalvia;NA;NA;Bivalvia;Bivalvia;Bivalvia;Bivalvia
vir;Copepods;Arthropoda;Hexanauplia;NA;NA;Copepoda;Hexanauplia;Zooplankton;Zoopk_crust
vir;Crab_larvae;Arthropoda;Malacostraca;Decapoda;NA;Zooplankton;Malacostraca;Zooplankton;Eggs_larvae
vir;Shrimp_larvae;Arthropoda;Malacostraca;Decapoda;NA;Zooplankton;Malacostraca;Zooplankton;Eggs_larvae
vir;Pteropods_Cresis_sp;Mollusca;Gastropoda;Pteropoda;Creseidae;Pteropoda;Gastropoda;Zooplankton;Zoopk_others
vir;Fish_eggs;Chordata;Actinopterygii;NA;NA;Zooplankton;Actinopterygii;Zooplankton;Eggs_larvae
vir;Plants;NA;NA;NA;NA;Algae;Benthic autotroph;Benthic autotroph;Benthic autotroph
vir;Crab larvae;Arthropoda;Malacostraca;Decapoda;NA;Zooplankton;Malacostraca;Zooplankton;Eggs_larvae
vir;Mysids;Arthropoda;Malacostraca;Mysida;NA;Mysida;Malacostraca;Zooplankton;Zoopk_crust
vir;Appendicularians;Chordata;Appendicularia;NA;NA;Tunicata;Tunicata;Zooplankton;Zoopk_transp
vir;Stomatopod larvae;Arthropoda;Malacostraca;Stomatopoda;NA;Zooplankton;Malacostraca;Zooplankton;Eggs_larvae
vir;Eggs;NA;NA;NA;NA;Zooplankton;Eggs;Zooplankton;Eggs_larvae
vir;Gastropod larvae;Mollusca;Gastropoda;NA;NA;Zooplankton;Gastropoda;Zooplankton;Eggs_larvae
vir;Siphonophores;Cnidaria;Hydrozoa;Siphonophorae;NA;Hydrozoa;Medusozoa;Zooplankton;Zoopk_transp
vir;Pelecypod larvae;Mollusca;Bivalvia;NA;NA;Zooplankton;Bivalvia;Zooplankton;Eggs_larvae
vir;Ostracods;Arthropoda;Ostracoda;NA;NA;Ostracoda;Ostracoda;Zooplankton;Zoopk_crust
vir;Pteropods;Mollusca;Gastropoda;Pteropoda;NA;Pteropoda;Gastropoda;Zooplankton;Zoopk_others
vir;Hyperiid;Arthropoda;Malacostraca;Amphipoda;NA;Amphipoda;Malacostraca;Zooplankton;Zoopk_crust
vir;Squids;Mollusca;Cephalopoda;Teuthida;NA;Cephalopoda;Cephalopoda;Cephalopoda;Cephalopoda
vir;Anchoa_sp;Chordata;Actinopterygii;Clupeiformes;Engraulidae;Actinopterygii;Actinopterygii;Actinopterygii;Actinopterygii
vir;Lysmata_moorei;Arthropoda;Malacostraca;Decapoda;Hippolytidae;Shrimp;Malacostraca;Decapoda;Decapoda
vir;Scarus_sp;Chordata;Actinopterygii;Pleurotomariida;Scissurellidae;Actinopterygii;Actinopterygii;Actinopterygii;Actinopterygii
vir;Octopuses;Mollusca;Cephalopoda;Octopoda;NA;Cephalopoda;Cephalopoda;Cephalopoda;Cephalopoda
vir;Crab;Arthropoda;Malacostraca;Decapoda;Mithracidae;Brachyura;Malacostraca;Decapoda;Decapoda
vir;Gonodactylus_curacaoensis;Arthropoda;Malacostraca;Stomatopoda;Gonodactylidae;Stomatopoda;Malacostraca;Stomatopoda;Stomatopoda
vir;Echinoids;Echinodermata;Echinoidea;NA;NA;Echinoidea;Echinoidea;Echinoidea;Echinoidea
vir;Haemulon_aurolineatum;Chordata;Actinopterygii;Lutjaniformes;Haemulidae;Actinopterygii;Actinopterygii;Actinopterygii;Actinopterygii
vir;Gastropods larvae;Mollusca;Gastropoda;NA;NA;Zooplankton;Gastropoda;Zooplankton;Eggs_larvae
vir;Jenkinsia_sp;Chordata;Actinopterygii;Clupeiformes;Clupeidae;Actinopterygii;Actinopterygii;Actinopterygii;Actinopterygii
vir;Carpenter_ants;Arthropoda;Insecta;Hymenoptera;NA;Insecta;Insecta;Insecta;Insecta
vir;Fish;Chordata;Actinopterygii;NA;NA;Actinopterygii;Actinopterygii;Actinopterygii;Actinopterygii
vir;Hermit_crab;Arthropoda;Malacostraca;Decapoda;NA;Anomura;Malacostraca;Decapoda;Decapoda
vir;Insecta;Arthropoda;Insecta;NA;NA;Insecta;Insecta;Insecta;Insecta
vir;Shrimp;Arthropoda;Malacostraca;Decapoda;NA;Shrimp;Malacostraca;Decapoda;Decapoda
vir;Cavolinids;Mollusca;Gastropoda;Pteropoda;Cavoliniidae;Pteropoda;Gastropoda;Zooplankton;Zoopk_others
vir;Seagrass;Tracheophyta;NA;NA;NA;Seagrass;Benthic autotroph;Benthic autotroph;Benthic autotroph
vir;Carideans;Arthropoda;Malacostraca;Decapoda;NA;Shrimp;Malacostraca;Decapoda;Decapoda
vir;Gastropods;Mollusca;Gastropoda;Trochida;Phasianellidae;Gastropoda;Gastropoda;Gastropoda;Gastropoda
vir;Isopods;Arthropoda;Malacostraca;Isopoda;NA;Isopoda;Malacostraca;Zooplankton;Zoopk_crust
vir;Stomatopod_larvae;Arthropoda;Malacostraca;Stomatopoda;NA;Zooplankton;Malacostraca;Zooplankton;Eggs_larvae
vir;Ophiurids;Echinodermata;Ophiuroidea;NA;NA;Ophiuroidea;Ophiuroidea;Ophiuroidea;Ophiuroidea
vir;Exocorallina_antillensis;Arthropoda;Malacostraca;Isopoda;Corallanidae;Isopoda;Malacostraca;Zooplankton;Zoopk_crust
vir;Acanthochitona_pygmaea;Mollusca;Polyplacophora;Chitonida;Acanthochitonidae;Polyplacophora;Polyplacophora;Polyplacophora;Polyplacophora
vir;shrimp_larvae;Arthropoda;Malacostraca;Decapoda;NA;Zooplankton;Malacostraca;Zooplankton;Eggs_larvae
vir;Choneplax_lata;Mollusca;Polyplacophora;Chitonida;Acanthochitonidae;Polyplacophora;Polyplacophora;Polyplacophora;Polyplacophora
vir;Acanthurus_sp;Chordata;Actinopterygii;Acanthuriformes;Acanthuridae;Actinopterygii;Actinopterygii;Actinopterygii;Actinopterygii
vir;Fish_larvae;Chordata;Actinopterygii;NA;NA;Zooplankton;Actinopterygii;Zooplankton;Eggs_larvae
vir;Cephalopod larvae;Mollusca;Cephalopoda;NA;NA;Zooplankton;Cephalopoda;Zooplankton;Eggs_larvae
vir;Hermit_crab_larvae;Arthropoda;Malacostraca;Decapoda;NA;Zooplankton;Malacostraca;Zooplankton;Eggs_larvae
vir;Scyllaridae_larvae;Arthropoda;Malacostraca;Decapoda;Scyllaridae;Zooplankton;Malacostraca;Zooplankton;Eggs_larvae
vir;Polychaeta_larvae;Annelida;Polychaeta;NA;NA;Zooplankton;Annelida;Zooplankton;Eggs_larvae
vir;Fish_scales;Chordata;Actinopterygii;NA;NA;Actinopterygii;Actinopterygii;Actinopterygii;Actinopterygii
vir;Barnacle appendages and larvae;Arthropoda;Hexanauplia;NA;NA;Cirripedia;Hexanauplia;Cirripedia;Cirripedia
vir;Foraminifera;Foraminifera;NA;NA;NA;Foraminifera;Foraminifera;Foraminifera;Foraminifera
vir;Alpheids;Arthropoda;Malacostraca;Decapoda;Alpheidae;Shrimp;Malacostraca;Decapoda;Decapoda
vir;Gastropods;Mollusca;Gastropoda;Trochida;Tegulidae;Gastropoda;Gastropoda;Gastropoda;Gastropoda
vir;Acanthochiton_hemphili;Mollusca;Polyplacophora;Chitonida;Acanthochitonidae;Polyplacophora;Polyplacophora;Polyplacophora;Polyplacophora
vir;Gonodactylus_oerstedii;Arthropoda;Malacostraca;Stomatopoda;Gonodactylidae;Stomatopoda;Malacostraca;Stomatopoda;Stomatopoda
vir;Octopus_briareus;Mollusca;Cephalopoda;Octopoda;Octopodidae;Cephalopoda;Cephalopoda;Cephalopoda;Cephalopoda
vir;Echiuroids;Annelida;Polychaeta;Echiura;NA;Annelida;Annelida;Worm;Worm
vir;Panulirus_argus;Arthropoda;Malacostraca;Decapoda;Palinuridae;Achelata;Malacostraca;Decapoda;Decapoda
vir;Scyllarides_aequinoctialis;Arthropoda;Malacostraca;Decapoda;Scyllaridae;Achelata;Malacostraca;Decapoda;Decapoda
vir;Eretmochelys_imbricata;Chordata;Reptilia;Testudines;Cheloniidae;Sea turtles;Sea turtles;Sea turtles;Sea turtles
vir;Spiny_lobster;Arthropoda;Malacostraca;Decapoda;Palinuridae;Achelata;Malacostraca;Decapoda;Decapoda
vir;Gastropods;Mollusca;Gastropoda;Littorinimorpha;Strombidae;Gastropoda;Gastropoda;Gastropoda;Gastropoda
vir;Barbatia_cancellaria;Mollusca;Bivalvia;Arcoida;Arcidae;Bivalvia;Bivalvia;Bivalvia;Bivalvia
vir;Blenniidae;Chordata;Actinopterygii;Blenniiformes;Blenniidae;Actinopterygii;Actinopterygii;Actinopterygii;Actinopterygii
vir;Periclimenes_sp;Arthropoda;Malacostraca;Decapoda;Palaemonidae;Shrimp;Malacostraca;Decapoda;Decapoda
vir;Sepiatheuthis_sepioidae;Mollusca;Cephalopoda;Teuthida;Loliginidae;Cephalopoda;Cephalopoda;Cephalopoda;Cephalopoda
vir;Tozeuma_sp;Arthropoda;Malacostraca;Decapoda;Hippolytidae;Shrimp;Malacostraca;Decapoda;Decapoda
vir;Salps;Chordata;Thaliacea;Salpida;Salpidae;Tunicata;Tunicata;Zooplankton;Zoopk_transp
vir;Lucifer_faxani;Arthropoda;Malacostraca;Decapoda;Luciferidae;Shrimp;Malacostraca;Decapoda;Decapoda
vir;Gastropoda_larvae;Mollusca;Gastropoda;NA;NA;Zooplankton;Gastropoda;Zooplankton;Eggs_larvae
vir;Eggs_unid;NA;NA;NA;NA;Zooplankton;Eggs;Zooplankton;Eggs_larvae
vir;Pseudosquilla_ciliata;Arthropoda;Malacostraca;Stomatopoda;Pseudosquillidae;Stomatopoda;Malacostraca;Stomatopoda;Stomatopoda
vir;Amphipoda;Arthropoda;Malacostraca;Amphipoda;NA;Amphipoda;Malacostraca;Zooplankton;Zoopk_crust
vir;Tanaid;Arthropoda;Malacostraca;Tanaidacea;NA;Tanaidacea;Malacostraca;Zooplankton;Zoopk_crust
vir;Alpheids_larvae;Arthropoda;Malacostraca;Decapoda;Alpheidae;Zooplankton;Malacostraca;Zooplankton;Eggs_larvae
vir;Opheliids;Annelida;Polychaeta;NA;Opheliidae;Annelida;Annelida;Worm;Worm
vir;Eunicids;Annelida;Polychaeta;Eunicida;NA;Annelida;Annelida;Worm;Worm
vir;Oxystomata;Arthropoda;Malacostraca;Decapoda;NA;Brachyura;Malacostraca;Decapoda;Decapoda
vir;Octopoda_larvae;Mollusca;Cephalopoda;Octopoda;NA;Zooplankton;Malacostraca;Zooplankton;Eggs_larvae
vir;Petrochirus_diogenes;Arthropoda;Malacostraca;Decapoda;Diogenidae;Anomura;Malacostraca;Decapoda;Decapoda
vir;Penaeidae;Arthropoda;Malacostraca;Decapoda;Penaeidae;Shrimp;Malacostraca;Decapoda;Decapoda
vir;Lysiosquilla_glabriuscula;Arthropoda;Malacostraca;Stomatopoda;Lysiosquillidae;Stomatopoda;Malacostraca;Stomatopoda;Stomatopoda
vir;Scyllarid_lobster;Arthropoda;Malacostraca;Decapoda;Scyllaridae;Achelata;Malacostraca;Decapoda;Decapoda
vir;Octopus_vulgaris;Mollusca;Cephalopoda;Octopoda;Octopodidae;Cephalopoda;Cephalopoda;Cephalopoda;Cephalopoda
vir;Pteropods_Cavolina_sp;Mollusca;Gastropoda;Pteropoda;Cavoliniidae;Pteropoda;Gastropoda;Zooplankton;Zoopk_others
vir;Tunicates;Chordata;NA;NA;NA;Tunicata;Tunicata;Tunicata;Tunicata
vir;Ctenophores;Ctenophora;NA;NA;NA;Ctenophora;Ctenophora;Zooplankton;Zoopk_transp
vir;Heteropods;Arthropoda;Arachnida;Araneae;NA;Arachnida;Arachnida;Arachnida;Arachnida
vir;Euphausids;Arthropoda;Malacostraca;Euphausiacea;NA;Euphausiacea;Malacostraca;Zooplankton;Zoopk_crust
vir;Hymenopteran insect;Arthropoda;Insecta;Hymenoptera;NA;Insecta;Insecta;Insecta;Insecta
vir;Diadema_antillarum;Echinodermata;Echinoidea;Diadematoida;Diadematidae;Echinoidea;Echinoidea;Echinoidea;Echinoidea
vir;Linckia_guildingii;Echinodermata;Asteroidea;Valvatida;Ophidiasteridae;Asteroidea;Asteroidea;Asteroidea;Asteroidea
vir;Anthozoa;Cnidaria;Anthozoa;NA;NA;Anthozoa;Anthozoa;Anthozoa;Anthozoa
vir;Serpulids;Annelida;Polychaeta;Sabellida;Serpulidae;Annelida;Annelida;Worm;Worm
vir;Sponges;Porifera;NA;NA;NA;Porifera;Porifera;Porifera;Porifera
vir;Ophiothrix_sp;Echinodermata;Ophiuroidea;Ophiurida;Ophiotrichidae;Ophiuroidea;Ophiuroidea;Ophiuroidea;Ophiuroidea
vir;Eunice_sp;Annelida;Polychaeta;Eunicida;Eunicidae;Annelida;Annelida;Worm;Worm
vir;Harpacticoida;Arthropoda;Hexanauplia;Harpacticoida;NA;Copepoda;Hexanauplia;Zooplankton;Zoopk_crust
vir;Trididemnum_savignii;Chordata;Ascidiacea;Enterogona;Didemnidae;Tunicata;Tunicata;Tunicata;Tunicata
vir;Apseudid;Arthropoda;Malacostraca;Tanaidacea;Apseudidae;Tanaidacea;Malacostraca;Zooplankton;Zoopk_crust
vir;Chitons;Mollusca;Polyplacophora;NA;NA;Polyplacophora;Polyplacophora;Polyplacophora;Polyplacophora
vir;Nebalia_sp;Arthropoda;Malacostraca;Leptostraca;Nebaliidae;Leptostraca;Malacostraca;Zooplankton;Zoopk_crust
vir;Dentalium_sp;Mollusca;Scaphopoda;Dentaliida;Dentaliidae;Scaphopoda;Scaphopoda;Scaphopoda;Scaphopoda
vir;Sipunculids;Sipuncula;Phascolosomatidea;Aspidosiphonida;Aspidosiphonidae;Sipuncula;Sipuncula;Worm;Worm
vir;Arabellids;Annelida;Polychaeta;Eunicida;Arabellidae;Annelida;Annelida;Worm;Worm
vir;Gastropods;Mollusca;Gastropoda;Neogastropoda;Olividae;Gastropoda;Gastropoda;Gastropoda;Gastropoda
vir;Monacanthidae;Chordata;Actinopterygii;Tetraodontiformes;Monacanthidae;Actinopterygii;Actinopterygii;Actinopterygii;Actinopterygii
vir;Squilla_tricarinata;Arthropoda;Malacostraca;Stomatopoda;Squillidae;Stomatopoda;Malacostraca;Stomatopoda;Stomatopoda
vir;Priapuloids;Cephalorynchia;Priapulida;NA;NA;Priapulida;Priapulida;Worm;Worm
vir;Caprellids;Arthropoda;Malacostraca;Amphipoda;Caprellidae;Amphipoda;Malacostraca;Zooplankton;Zoopk_crust
vir;Scaphopods;Mollusca;Scaphopoda;NA;NA;Scaphopoda;Scaphopoda;Scaphopoda;Scaphopoda
vir;Bryozoa;Bryozoa;NA;NA;NA;Bryozoa;Bryozoa;Bryozoa;Bryozoa
vir;Chloeia_sp;Annelida;Polychaeta;Eunicida;Amphinomidae;Annelida;Annelida;Worm;Worm
vir;Undinula_vulgaris;Arthropoda;Hexanauplia;Calanoida;Calanidae;Copepoda;Hexanauplia;Zooplankton;Zoopk_crust
vir;Gastropoda;Mollusca;Gastropoda;NA;NA;Gastropoda;Gastropoda;Gastropoda;Gastropoda
vir;Solemya_occidentalis;Mollusca;Bivalvia;Solemyida;Solemyidae;Bivalvia;Bivalvia;Bivalvia;Bivalvia
vir;Barnacle larvae;Arthropoda;Hexanauplia;NA;NA;Zooplankton;Hexanauplia;Zooplankton;Eggs_larvae
vir;Ischnochiton_papillosus;Mollusca;Polyplacophora;Chitonida;Ischnochitonidae;Polyplacophora;Polyplacophora;Polyplacophora;Polyplacophora
vir;Barnacle appendages;Arthropoda;Hexanauplia;NA;NA;Cirripedia;Hexanauplia;Cirripedia;Cirripedia
vir;Laevicardium_sp;Mollusca;Bivalvia;Veneroida;Cardiidae;Bivalvia;Bivalvia;Bivalvia;Bivalvia
vir;Gastropods;Mollusca;Gastropoda;Cephalaspidea;Haminoeidae;Gastropoda;Gastropoda;Gastropoda;Gastropoda
vir;Aspidosiphon_sp;Sipuncula;Phascolosomatidea;Aspidosiphonida;Aspidosiphonidae;Sipuncula;Sipuncula;Worm;Worm
vir;Holothurians;Echinodermata;Holothuroidea;NA;NA;Holothuroidea;Holothuroidea;Holothuroidea;Holothuroidea
vir;Gastropods;Mollusca;Gastropoda;Trochida;Areneidae;Gastropoda;Gastropoda;Gastropoda;Gastropoda
vir;Olivella_sp;Mollusca;Gastropoda;Neogastropoda;Olividae;Gastropoda;Gastropoda;Gastropoda;Gastropoda
vir;Phyllactis_flosculifera;Cnidaria;Anthozoa;Actiniaria;Actiniidae;Actiniaria;Anthozoa;Anthozoa;Anthozoa
vir;Cadulus_sp;Mollusca;Scaphopoda;Gadilida;Gadilidae;Scaphopoda;Scaphopoda;Scaphopoda;Scaphopoda
vir;Mithrax_sp;Arthropoda;Malacostraca;Decapoda;Mithracidae;Brachyura;Malacostraca;Decapoda;Decapoda
vir;Gastropoda;Mollusca;Gastropoda;NA;NA;Gastropoda;Gastropoda;Gastropoda;Gastropoda
vir;Thyone_pseudofusus;Echinodermata;Holothuroidea;Dendrochirotida;Phyllophoridae;Holothuroidea;Holothuroidea;Holothuroidea;Holothuroidea
vir;Cumingia_antillarum;Mollusca;Bivalvia;Veneroida;Semelidae;Bivalvia;Bivalvia;Bivalvia;Bivalvia
vir;Algae;NA;NA;NA;NA;Algae;Benthic autotroph;Benthic autotroph;Benthic autotroph
vir;Eggs_invert;NA;NA;NA;NA;Zooplankton;Eggs;Zooplankton;Eggs_larvae
vir;Pinctada_radiata;Mollusca;Bivalvia;Pterioida;Pteriidae;Bivalvia;Bivalvia;Bivalvia;Bivalvia
vir;Turbo_castanea;Mollusca;Gastropoda;Trochida;Turbinidae;Gastropoda;Gastropoda;Gastropoda;Gastropoda
vir;Majids;Arthropoda;Malacostraca;Decapoda;Majidae;Brachyura;Malacostraca;Decapoda;Decapoda
vir;Polyplacophores;Mollusca;Polyplacophora;NA;NA;Polyplacophora;Polyplacophora;Polyplacophora;Polyplacophora
vir;Acmaeids;Mollusca;Gastropoda;NA;Acmaeidae;Gastropoda;Gastropoda;Gastropoda;Gastropoda
vir;Cymodocea_manatorum;Tracheophyta;Magnoliopsida;Alismatales;Cymodoceaceae;Seagrass;Benthic autotroph;Benthic autotroph;Benthic autotroph
vir;Gammarids;Arthropoda;Malacostraca;Amphipoda;Gammaridae;Amphipoda;Malacostraca;Zooplankton;Zoopk_crust
vir;Eunicids;Annelida;Polychaeta;Eunicida;Eunicidae;Annelida;Annelida;Worm;Worm
vir;Tellina_sp;Mollusca;Bivalvia;Veneroida;Tellinidae;Bivalvia;Bivalvia;Bivalvia;Bivalvia
vir;Petrolisthes_galathinus;Arthropoda;Malacostraca;Decapoda;Porcellanidae;Anomura;Malacostraca;Decapoda;Decapoda
vir;Hipponix_subrufus;Mollusca;Gastropoda;Littorinimorpha;Hipponicidae;Gastropoda;Gastropoda;Gastropoda;Gastropoda
vir;Excorallana_antillensis;Arthropoda;Malacostraca;Isopoda;Corallanidae;Isopoda;Malacostraca;Zooplankton;Zoopk_crust
vir;Portunidae;Arthropoda;Malacostraca;Decapoda;Portunidae;Brachyura;Malacostraca;Decapoda;Decapoda
vir;Aspidosiphon_cumingi;Sipuncula;Phascolosomatidea;Aspidosiphonida;Aspidosiphonidae;Sipuncula;Sipuncula;Worm;Worm
vir;Turbonilla_sp;Mollusca;Gastropoda;NA;Pyramidellidae;Gastropoda;Gastropoda;Gastropoda;Gastropoda
vir;Gonodactylus_sp;Arthropoda;Malacostraca;Stomatopoda;Gonodactylidae;Stomatopoda;Malacostraca;Stomatopoda;Stomatopoda
vir;Spatangoids;Echinodermata;Echinoidea;Spatangoida;NA;Echinoidea;Echinoidea;Echinoidea;Echinoidea
vir;Cantherhines_pullus;Chordata;Actinopterygii;Tetraodontiformes;Monacanthidae;Actinopterygii;Actinopterygii;Actinopterygii;Actinopterygii
vir;Fish_parts;Chordata;Actinopterygii;NA;NA;Actinopterygii;Actinopterygii;Actinopterygii;Actinopterygii
vir;Pteropoda_Cavolina_sp;Mollusca;Gastropoda;Pteropoda;Cavoliniidae;Pteropoda;Gastropoda;Zooplankton;Zoopk_others
vir;Candacia_pachydactyla;Arthropoda;Hexanauplia;Calanoida;Candaciidae;Copepoda;Hexanauplia;Zooplankton;Zoopk_crust
vir;Pteropoda_Cavolina_longirostris;Mollusca;Gastropoda;Pteropoda;Cavoliniidae;Pteropoda;Gastropoda;Zooplankton;Zoopk_others
vir;Hippids;Arthropoda;Malacostraca;Decapoda;Hippidae;Anomura;Malacostraca;Decapoda;Decapoda
vir;Pteropoda;Mollusca;Gastropoda;Pteropoda;NA;Pteropoda;Gastropoda;Zooplankton;Zoopk_others
vir;Engraulidae;Chordata;Actinopterygii;Clupeiformes;Engraulidae;Actinopterygii;Actinopterygii;Actinopterygii;Actinopterygii
vir;Paguristes_grayi;Arthropoda;Malacostraca;Decapoda;Diogenidae;Anomura;Malacostraca;Decapoda;Decapoda
vir;Cymothoids;Arthropoda;Malacostraca;Isopoda;Cymothoidae;Isopoda;Malacostraca;Zooplankton;Zoopk_crust
vir;Zoanthus_sociatus;Cnidaria;Anthozoa;Zoantharia;Zoanthidae;Zoantharia;Anthozoa;Anthozoa;Anthozoa
vir;Opisthobranchia_Tridachia_crispata;Mollusca;Gastropoda;NA;Plakobranchidae;Gastropoda;Gastropoda;Gastropoda;Gastropoda
vir;Ants;Arthropoda;Insecta;Hymenoptera;NA;Insecta;Insecta;Insecta;Insecta
vir;Porcellanidae;Arthropoda;Malacostraca;Decapoda;Porcellanidae;Anomura;Malacostraca;Decapoda;Decapoda
vir;Hydrozoa;Cnidaria;Hydrozoa;NA;NA;Hydrozoa;Medusozoa;Medusozoa;Hydrozoa
vir;Scleractinia;Cnidaria;Anthozoa;Scleractinia;NA;Scleractinia;Anthozoa;Anthozoa;Anthozoa
vir;Zoanthus_sp;Cnidaria;Anthozoa;Zoantharia;Zoanthidae;Zoantharia;Anthozoa;Anthozoa;Anthozoa
vir;Scyphozoans;Cnidaria;Scyphozoa;NA;NA;Scyphozoa;Medusozoa;Medusozoa;Hydrozoa
vir;Fish;Chordata;Actinopterygii;Perciformes;Pomacentridae;Actinopterygii;Actinopterygii;Actinopterygii;Actinopterygii
vir;Thalassia_testudinum;Tracheophyta;Magnoliopsida;Alismatales;Hydrocharitaceae;Seagrass;Benthic autotroph;Benthic autotroph;Benthic autotroph
vir;Oncaea_sp;Arthropoda;Hexanauplia;Poecilostomatoida;Oncaeidae;Copepoda;Hexanauplia;Zooplankton;Zoopk_crust
vir;Diodora_variegata;Mollusca;Gastropoda;Lepetellida;Fissurellidae;Gastropoda;Gastropoda;Gastropoda;Gastropoda
vir;Palaemonids;Arthropoda;Malacostraca;Decapoda;Palaemonidae;Shrimp;Malacostraca;Decapoda;Decapoda
vir;Clibanarius_sp;Arthropoda;Malacostraca;Decapoda;Diogenidae;Anomura;Malacostraca;Decapoda;Decapoda
vir;Paracerceis_caudata;Arthropoda;Malacostraca;Isopoda;Sphaeromatidae;Isopoda;Malacostraca;Zooplankton;Zoopk_crust
vir;Calloplax_janeirensis;Mollusca;Polyplacophora;Chitonida;Callistoplacidae;Polyplacophora;Polyplacophora;Polyplacophora;Polyplacophora
vir;Ampharetids;Annelida;Polychaeta;Terebellida;Ampharetidae;Annelida;Annelida;Worm;Worm
vir;Arcopsis_adamsi;Mollusca;Bivalvia;Arcoida;Noetiidae;Bivalvia;Bivalvia;Bivalvia;Bivalvia
vir;Echinometra_sp;Echinodermata;Echinoidea;Echinoida;Echinometridae;Echinoidea;Echinoidea;Echinoidea;Echinoidea
vir;Bivalvia;Mollusca;Bivalvia;NA;NA;Bivalvia;Bivalvia;Bivalvia;Bivalvia
vir;Cymadusa_sp;Arthropoda;Malacostraca;Amphipoda;Ampithoidae;Amphipoda;Malacostraca;Zooplankton;Zoopk_crust
