;grp_raw;grp;item_class;item_ord_cor;item_cor
1533;Chitons;Polyplacophora;Polyplacophora;Chitonida;Ischnochiton papillosus
1534;Chordata;Chordata;Enteropneusta;NA;Ptychodera sp
1538;Cirripèdes;Cirripedia;Hexanauplia;NA;Cirripedia
1564;Cirripèdes panaches;Cirripedia;Hexanauplia;NA;Cirripedia
1568;Coelentarate;Hydrozoa;Hydrozoa;NA;Hydrozoa
1569;Coelentarate;Hydrozoa;Hydrozoa;Anthoathecata;Stylaster sanguineus
1572;Coelentarate;Scleractinia;Anthozoa;Scleractinia;Scleractinia
1573;Coelenterata_polyps;Cnidaria;NA;NA;Coelenterata
1574;Copepodes;Copepoda;Hexanauplia;NA;Copepoda
1578;Copepodes;Copepoda;Hexanauplia;Calanoida;Calanoida
1580;Copepodes;Copepoda;Hexanauplia;Harpacticoida;Harpacticoida
1583;Copepodes;Copepoda;Hexanauplia;Cyclopoida;Cyclopoida
1623;Copepodes;Copepoda;Hexanauplia;Monstrilloida;Monstrilloida
1640;Copepodes;Copepoda;Hexanauplia;Caligoida;Caligoida
1659;Copepodes;Shrimp;Malacostraca;Decapoda;Shrimp
1677;Copepodes;Insecta;Insecta;NA;Insecta
1681;Copepodes;Copepoda;Hexanauplia;Cyclopoida;Cyclopoida
1703;Copepodes;Copepoda;Hexanauplia;Cycloida;Cycloida
1758;Copepods;Copepoda;Hexanauplia;Calanoida;Undinula vulgaris
1759;Copepods;Copepoda;Hexanauplia;Calanoida;Calanoida
1760;Copepods;Copepoda;Hexanauplia;Calanoida;Scolecithrix danae
1761;Copepods;Copepoda;Hexanauplia;Cyclopoida;Cyclopoida
1764;Copepods;Copepoda;Hexanauplia;Calanoida;Temora turbinata
1766;Copepods;Copepoda;Hexanauplia;Calanoida;Paracalanus parvus
1767;Copepods;Copepoda;Hexanauplia;Harpacticoida;Harpacticoida
1768;Copepods;Copepoda;Hexanauplia;Calanoida;Euchaeta marina
1769;Copepods;Copepoda;Hexanauplia;Calanoida;Centropages hamatus
1770;Copepods;Copepoda;Hexanauplia;NA;Copepoda
1772;Copepods;Copepoda;Hexanauplia;Calanoida;Paracalanus aculeatus
1773;Copepods;Copepoda;Hexanauplia;Calanoida;Candacia pachydactyla
1775;Copepods;Copepoda;Hexanauplia;Calagoida;Calagoida
1779;Copepods;Copepoda;Hexanauplia;Harpacticoida;Miracia efferata
1785;Copepods;Copepoda;Hexanauplia;Harpacticoida;Microsetella norvegica
1786;Copepods;Copepoda;Hexanauplia;Poecilostomatoida;Oncaea sp
1794;Copepods;Copepoda;Hexanauplia;Calanoida;Labidocera scotti
1805;Copepods;Copepoda;Hexanauplia;Poecilostomatoida;Farrangula gracilis
1806;Copepods;Copepoda;Hexanauplia;Calanoida;Temora stylifera
1809;Copepods;Copepoda;Hexanauplia;Poecilostomatoida;Corycaeus subulatus
1811;Copepods;Copepoda;Hexanauplia;Harpacticoida;Miracia minor
1815;Copepods;Copepoda;Hexanauplia;Calanoida;Nannocalanus minor
1817;Copepods;Copepoda;Hexanauplia;Harpacticoida;Euterpina acutifrons
1830;Copepods;Copepoda;Hexanauplia;Calanoida;Calanopia americana
1846;Copepods;Copepoda;Hexanauplia;Calanoida;Eucalanus monachus
1853;Copepods;Copepoda;Hexanauplia;Poecilostomatoida;Corycaeus sp
1871;Copepods;Copepoda;Hexanauplia;Calanoida;Paracalanus sp
1875;Copepods;Copepoda;Hexanauplia;Poecilostomatoida;Corycaeus amazonicus
1887;Copepods;Copepoda;Hexanauplia;Calanoida;Acartia negligens
1895;Copepods;Copepoda;Hexanauplia;Calanoida;Paracalanus crassirostris
1898;Copepods;Copepoda;Hexanauplia;Calanoida;Calocalanus sp
1902;Copepods;Copepoda;Hexanauplia;Calanoida;Pontella sp
1907;Copepods;Copepoda;Hexanauplia;Harpacticoida;Metis holothuria
1914;Copepods;Copepoda;Hexanauplia;Calanoida;Rhincalanus cornutus
1928;Copepods;Copepoda;Hexanauplia;Siphonostomatoida;Siphonostomatoida
1953;Copepods;Copepoda;Hexanauplia;Calanoida;Eucalanus attenuatus
1965;Copepods;Copepoda;Hexanauplia;Cyclopoida;Oithona sp
1985;Copepods;Copepoda;Hexanauplia;Poecilostomatoida;Sapphrina sp
1990;Coralline_algae;Coralline algae;Florideophyceae;Corallinales;Coralline_algae
1997;Crab;Crab;Malacostraca;Decapoda;Emerita sp
1998;Crab;Crab;Malacostraca;Decapoda;Portunidae
1999;Crab;Crab;Malacostraca;Decapoda;Sesarma sp
2000;Crab;Crab;Malacostraca;Decapoda;Calappidae
2001;Crab;Crab;Malacostraca;Decapoda;Portunus sebae
2003;Crab;Crab;Malacostraca;Decapoda;Brachyura
2004;Crab;Crab;Malacostraca;Decapoda;Petrolisthes galathinus
2005;Crab;Crab;Malacostraca;Decapoda;Crab
2007;Crab;Crab;Malacostraca;Decapoda;Majidae
2008;Crab;Crab;Malacostraca;Decapoda;Trapezia sp
2013;Crab;Crab;Malacostraca;Decapoda;Mithrax coryphe
2015;Crab;Crab;Malacostraca;Decapoda;Stenorhynchus seticornis
2016;Crab;Crab;Malacostraca;Decapoda;Portunus sp
2017;Crab;Crab;Malacostraca;Decapoda;Domecia hispida
2018;Crab;Crab;Malacostraca;Decapoda;Hippidae
2019;Crab;Decapoda;Malacostraca;Decapoda;Decapoda
2027;Crab;Crab;Malacostraca;Decapoda;Oxyrhynchid
2030;Crab;Crab;Malacostraca;Decapoda;Xanthidae
2038;Crab;Crab;Malacostraca;Decapoda;Mithrax sp
2041;Crab;Crab;Malacostraca;Decapoda;Raninidae
2062;Crab;Crab;Malacostraca;Decapoda;Percnon gibbesi
2067;Crab;Crab;Malacostraca;Decapoda;Ranilia muricata
2073;Crab;Crab;Malacostraca;Decapoda;Porcellanidae
2075;Crab;Crab;Malacostraca;Decapoda;Leptodius floridanus
2079;Crab;Crab;Malacostraca;Decapoda;Charybdis sp
2084;Crab;Crab;Malacostraca;Decapoda;Tetralia glaberrima
2085;Crab;Crab;Malacostraca;Decapoda;Petrolisthes sp
2088;Crab;Crab;Malacostraca;Decapoda;Thalamita sp
2089;Crab;Crab;Malacostraca;Decapoda;Portunus anceps
2093;Crab;Crab;Malacostraca;Decapoda;Pitho sp
2097;Crab;Crab;Malacostraca;Decapoda;Calappa ocellata
2100;Crab;Crab;Malacostraca;Decapoda;Petrolisthes polita
2120;Crab;Crab;Malacostraca;Decapoda;Leiolambrus nitidus
2123;Crab;Crab;Malacostraca;Decapoda;Platypodia spectabilis
2154;Crab;Crab;Malacostraca;Decapoda;Pitho lherminieri
2160;Crab;Crab;Malacostraca;Decapoda;Goneplacidae
2166;Crab;Crab;Malacostraca;Decapoda;Mithrax cinctimanus
2168;Crab;Crab;Malacostraca;Decapoda;Mithrax sculptus
2173;Crab;Crab;Malacostraca;Decapoda;Grapsidae
2185;Crab;Crab;Malacostraca;Decapoda;Xanthodius denticulatus
2198;Crab;Crab;Malacostraca;Decapoda;Etisus sp
2205;Crab;Crab;Malacostraca;Decapoda;Parthenopidae
2214;Crab;Crab;Malacostraca;Decapoda;Portunus ordwayi
2227;Shrimp;Shrimp;Malacostraca;Decapoda;Shrimp
2230;Crab;Crab;Malacostraca;Decapoda;Callinectes sp
2240;Crab;Crab;Malacostraca;Decapoda;Parthenope serrata
2241;Crab;Crab;Malacostraca;Decapoda;Cronius ruber
2243;Crab;Crab;Malacostraca;Decapoda;Carpilius corallinus
2245;Crab;Crab;Malacostraca;Decapoda;Arenaeus cribrarius
2262;Crab;Crab;Malacostraca;Decapoda;Pitho aculeata
2270;Crab;Crab;Malacostraca;Decapoda;Herbstia sp
2276;Crab;Crab;Malacostraca;Decapoda;Mithrax verrucosus
2277;Crab;Crab;Malacostraca;Decapoda;Calappa gallus
2294;Crab;Crab;Malacostraca;Decapoda;Kraussia rugulosus
2311;Crab;Crab;Malacostraca;Decapoda;Albunea gibbesii
2314;Crab;Crab;Malacostraca;Decapoda;Pilumnus sp
2321;Crab;Crab;Malacostraca;Decapoda;Microphrys bicornutus
2329;Crab;Crab;Malacostraca;Decapoda;Actaea acantha
2333;Crab;Crab;Malacostraca;Decapoda;Persephona punctata
2334;Crab;Crab;Malacostraca;Decapoda;Portunus bahamensis
2349;Crab;Crab;Malacostraca;Decapoda;Mithrax forceps
2357;Crab;Crab;Malacostraca;Decapoda;Grapsoidae
2364;Crab;Crab;Malacostraca;Decapoda;Calappa sp
2379;Crab;Crab;Malacostraca;Decapoda;Upogebia sp
2395;Crab;Crab;Malacostraca;Decapoda;Pachygrapsus plicatus
2397;Crab;Crab;Malacostraca;Decapoda;Chorinus heros
2403;Crab;Crab;Malacostraca;Decapoda;Tetralia sp
2427;Crab;Crab;Malacostraca;Decapoda;Actaea rufopunctata
2485;Shrimp;Shrimp;Malacostraca;Decapoda;Periclimenes sp
2486;Crab;Crab;Malacostraca;Decapoda;Panopeus sp
2496;Crab;Crab;Malacostraca;Decapoda;Acanthonyx petiverii
2502;Crab;Crab;Malacostraca;Decapoda;Pinnotheridae
2511;Crab;Crab;Malacostraca;Decapoda;Macrocoeloma trispinosum
2513;Crab;Crab;Malacostraca;Decapoda;Calappa flammea
2532;Crab;Crab;Malacostraca;Decapoda;Euryplax nitida
2545;Crab;Crab;Malacostraca;Decapoda;Cronius tumidulus
2555;Crab;Crab;Malacostraca;Decapoda;Porcellana sayana
2586;Crab;Crab;Malacostraca;Decapoda;Macrocoelema sp
2595;Crab;Crab;Malacostraca;Decapoda;Chlorodiella longimana
2650;Crab;Crab;Malacostraca;Decapoda;Percnon sp
2654;Crab;Crab;Malacostraca;Decapoda;Portunus longispinosus
2673;Crab;Crab;Malacostraca;Decapoda;Leucosiidae
2676;Crab;Crab;Malacostraca;Decapoda;Emerita portoricensis
2677;Crab;Crab;Malacostraca;Decapoda;Pisosoma sp
2678;Crab;Crab;Malacostraca;Decapoda;Lydia annulipes
2681;Crab;Crab;Malacostraca;Decapoda;Oxystomata
2707;Crab;Crab;Malacostraca;Decapoda;Sicyonia sp
2719;Crab;Crab;Malacostraca;Decapoda;Ebalia stimpsonii
2724;Crabes;Crab;Malacostraca;Decapoda;Crab
2726;Crinoid;Crinoidea;Crinoidea;NA;Crinoidea
2728;Crustacea;Crustacea;NA;NA;Crustacea
2729;Crustacea;Copepoda;Hexanauplia;NA;Copepoda
2732;Crustacea;Isopoda;Malacostraca;Isopoda;Isopoda
2748;Crustacea;Crab;Malacostraca;Decapoda;Xanthidae
2749;Crustacea;Ostracoda;Ostracoda;NA;Ostracoda
2762;Crustacea;Crab;Malacostraca;Decapoda;Majidae
2771;Crustacea;Cirripedia;Hexanauplia;NA;Cypris_larvae
2814;Crustacea;Copepoda;Hexanauplia;Calanoida;Calanoida
2815;Crustacea;Zooplankton;Malacostraca;Mysida;Mysida
2846;Crustacea;Decapoda;Malacostraca;Decapoda;Galathea sp
2847;Crustacea;Copepoda;Hexanauplia;Cyclopoida;Cyclopoida
2867;Crustacea;Crab;Malacostraca;Decapoda;Parthenopidae
2975;Crustacea;Zooplankton;Malacostraca;Leptostraca;Nebaliacea
3037;Crustacea;Copepoda;Hexanauplia;Caligoida;Caligoida
3076;Crustacea;Copepoda;Hexanauplia;Harpacticoida;Harpacticoida
3146;Ctenophores;Ctenophora;NA;NA;Ctenophora
3147;Cumacés;Zooplankton;Malacostraca;Cumacea;Cumacea
3192;Cumacés;Zooplankton;Malacostraca;Cumacea;Cumacea
3204;Cumacés;Zooplankton;Malacostraca;Cumacea;Cumacea
3207;Debris;Detritus;NA;NA;Detritus_OM
3210;Debris_OM;Detritus;NA;NA;Detritus_OM
3216;Debris_Sand_Foraminifera;Detritus;NA;NA;Organic
3217;Debris_unid;Detritus;NA;NA;Organic
3223;Decapod larvae;Decapoda;Malacostraca;Decapoda;Decapoda
3225;Detritus;Detritus;NA;NA;Detritus_OM
3230;Detritus_sand;Detritus;NA;NA;Detritus_OM
3237;Detritus_Sand;Detritus;NA;NA;Detritus_OM
3238;Diatoms;Diatoms;NA;NA;Diatoms
3244;Diatoms_colonial;Diatoms;NA;NA;Diatoms
3245;Divers;NA;NA;NA;NA
3247;Echinides;Echinoidea;Echinoidea;NA;Echinoidea
3273;Echinoderms;Echinodermata;NA;NA;Echinodermata
3274;Echinoids;Echinoidea;Echinoidea;Echinoida;Echinometra sp
3275;Echinoids;Echinoidea;Echinoidea;Cidaroida;Eucidaris metularia
3276;Echinoids;Echinoidea;Echinoidea;Cidaroida;Eucidaris tribuloides
3278;Echinoids;Echinoidea;Echinoidea;NA;Echinoidea
3279;Echinoids;Echinoidea;Echinoidea;Diadematoida;Diadema antillarum
3280;Echinoids;Echinoidea;Echinoidea;Temnopleuroida;Lytechinus variegatus
3288;Echinoids;Echinoidea;Echinoidea;Spatangoida;Brissus brissus
3289;Echinoids;Echinoidea;Echinoidea;Spatangoida;Spatangoida
3290;Echinoids;Echinoidea;Echinoidea;Echinoida;Echinometra viridis
3293;Echinoids;Echinoidea;Echinoidea;Echinoida;Echinometra mathaei
3297;Echinoids;Echinoidea;Echinoidea;Echinoida;Heterocentrotus mammillatus
3299;Echinoids;Echinoidea;Echinoidea;Spatangoida;Maretia sp
3303;Echinoids;Echinoidea;Echinoidea;Camarodonta;Echinometridae
3309;Echinoids;Echinoidea;Echinoidea;Spatangoida;Moira atropus
3327;Echinoids;Echinoidea;Echinoidea;Echinoida;Echinometra lacunter
3349;Echinoids;Echinoidea;Echinoidea;Cidaroida;Eucidaris sp
3350;Echinoids;Echinoidea;Echinoidea;Temnopleuroida;Tripneustes esculentus
3351;Echinoids;Echinoidea;Echinoidea;Clypeasteroida;Clypeaster sp
3368;Echinoids;Echinoidea;Echinoidea;Cidaroida;Cidaridea
3397;Echiures;Polychaeta;Polychaeta;Echiura;Echiuroidae
3401;Echiuroids;Polychaeta;Polychaeta;Echiura;Echiuroidae
3403;Eggs;Eggs;NA;NA;Eggs
3410;Eggs_demersal;Eggs;NA;NA;Eggs
3413;Eggs_invert;Eggs;NA;NA;Eggs
3415;Eggs_planktonic;Eggs;NA;NA;Eggs
3420;Eggs_unid;Eggs;NA;NA;Eggs
3436;Eponges;Porifera;NA;NA;Porifera
3486;Euphausids;Zooplankton;Malacostraca;Euphausiacea;Euphausiacea
3489;Filamentous_algae;Algae;NA;NA;Algae
3575;Filamentous_red_algae;Algae;NA;NA;Algae
3576;Fish;Fish;Actinopterygii;NA;Fish
3577;Fish;Fish;Actinopterygii;Acanthuriformes;Acanthurus sp
3578;Fish;Fish;Actinopterygii;Tetraodontiformes;Cantherhines pullus
3579;Fish;Fish;Actinopterygii;Clupeiformes;Clupeidae
3580;Fish;Fish;Actinopterygii;Clupeiformes;Jenkinsia sp
3581;Fish;Fish;Actinopterygii;Labriformes;Scaridae
3583;Fish;Fish;Actinopterygii;Priacanthiformes;Priacanthus arenatus
3585;Fish;Fish;Actinopterygii;Tetraodontiformes;Diodon hystrix
3586;Fish;Fish;Actinopterygii;Tetraodontiformes;Monacanthus sp
3587;Fish;Fish;Actinopterygii;Anguilliformes;Anguilliformes
3589;Fish;Fish;Actinopterygii;Labriformes;Halichoeres sp
3592;Fish;Fish;Actinopterygii;Clupeiformes;Engraulidae
3593;Fish;Fish;Actinopterygii;Perciformes;Opisthognathus sp
3594;Fish;Fish;Actinopterygii;Perciformes;Scorpaena plumieri
3595;Fish;Fish;Actinopterygii;NA;Fish_eggs
3597;Fish;Fish;Actinopterygii;Tetraodontiformes;Sphoeroides sp
3598;Fish;Fish;Actinopterygii;Perciformes;Stegastes fasciolatus
3599;Fish;Fish;Actinopterygii;Lutjaniformes;Haemulon aurolineatum
3602;Fish;Fish;Actinopterygii;Blenniiformes;Cirripectes variolosus
3603;Fish;Fish;Actinopterygii;Perciformes;Plectroglyphidodon dickii
3605;Fish;Fish;Actinopterygii;Syngnathiformes;Pseudupeneus maculatus
3608;Fish;Fish;Actinopterygii;Tetraodontiformes;Sphoeroides spengleri
3611;Fish;Fish;Actinopterygii;Labriformes;Labridae
3612;Fish;Fish;Actinopterygii;Perciformes;Pomacentridae
3617;Fish;Fish;Actinopterygii;Atheriniformes;Hypoatherina harringtonensis
3618;Fish;Fish;Actinopterygii;Atheriniformes;Atherinomorus stipes
3620;Fish;Fish;Actinopterygii;Labriformes;Sparisoma sp
3621;Fish;Fish;Actinopterygii;Blenniiformes;Cirripectes sp
3622;Fish;Fish;Actinopterygii;Perciformes;Siganus sp
3623;Fish;Fish;Actinopterygii;Perciformes;Plectroglyphidodon leucozonus
3625;Fish;Fish;Actinopterygii;Perciformes;Chromis multilineata
3635;Fish;Fish;Actinopterygii;Perciformes;Epinephelus sp
3636;Fish;Fish;Actinopterygii;Perciformes;Abudefduf sp
3639;Fish;Fish;Actinopterygii;Kurtiformes;Ostorhinchus novemfasciatus
3640;Fish;Fish;Actinopterygii;Atheriniformes;Hypoatherina ovalaua
3646;Fish;Fish;Actinopterygii;NA;Fish_larvae
3649;Fish;Fish;Actinopterygii;Myliobatiformes;Dasyatis americana
3650;Fish;Fish;Actinopterygii;Tetraodontiformes;Diodon sp
3657;Fish;Fish;Actinopterygii;Gobiiformes;Gobiidae
3659;Fish;Fish;Actinopterygii;Acanthuriformes;Acanthurus triostegus
3660;Fish;Fish;Actinopterygii;Tetraodontiformes;Balistidae
3662;Fish;Fish;Actinopterygii;Syngnathiformes;Parupeneus trifasciatus
3663;Fish;Fish;Actinopterygii;Gobiiformes;Ctenogobius sp
3664;Fish;Fish;Actinopterygii;Perciformes;Chrysiptera brownriggii
3669;Fish;Fish;Actinopterygii;Atheriniformes;Atherinidae
3670;Fish;Fish;Actinopterygii;Carangiformes;Carangidae
3672;Fish;Fish;Actinopterygii;Lutjaniformes;Haemulon sp
3673;Fish;Fish;Actinopterygii;Clupeiformes;Harengula sp
3674;Fish;Fish;Actinopterygii;Perciformes;Serranus sp
3676;Fish;Fish;Actinopterygii;Clupeiformes;Jenkinsia lamprotaenia
3677;Fish;Fish;Actinopterygii;Clupeiformes;Anchoa sp
3679;Fish;Fish;Actinopterygii;Perciformes;Microspathodon chrysurus
3680;Fish;Fish;Actinopterygii;Anguilliformes;Gymnothorax miliaris
3681;Fish;Fish;Actinopterygii;Anguilliformes;Muraenidae
3682;Fish;Fish;Actinopterygii;Holocentriformes;Myripristis jacobus
3683;Fish;Fish;Actinopterygii;Tetraodontiformes;Tetraodontidae
3685;Fish;Fish;Actinopterygii;Perciformes;Stegastes fuscus
3688;Fish;Fish;Actinopterygii;Lutjaniformes;Lutjanus griseus
3689;Fish;Fish;Actinopterygii;Pleurotomariida;Scarus sp
3692;Fish;Fish;Actinopterygii;Aulopiformes;Synodontidae
3693;Fish;Fish;Actinopterygii;Acanthuriformes;Ctenochaetus striatus
3695;Fish;Fish;Actinopterygii;Labriformes;Scarus iseri
3696;Fish;Fish;Actinopterygii;Labriformes;Sparisoma aurofrenatum
3697;Fish;Fish;Actinopterygii;Labriformes;Sparisoma viride
3698;Fish;Fish;Actinopterygii;Syngnathiformes;Aulostomus chinensis
3700;Fish;Fish;Actinopterygii;Blenniiformes;Plagiotremus goslinei
3701;Fish;Fish;Actinopterygii;Perciformes;Parapercidae
3712;Fish;Fish;Actinopterygii;Perciformes;Labridae
3714;Fish;Fish;Actinopterygii;Blenniiformes;Istiblennius sp
3716;Fish;Fish;Actinopterygii;Perciformes;Chromis ternatensis
3718;Fish;Fish;Actinopterygii;Clupeiformes;Anchoa parva
3723;Fish;Fish;Actinopterygii;Beloniformes;Tylosurus sp
3732;Fish;Fish;Actinopterygii;Clupeiformes;Cetengraulis edentulus
3733;Fish;Fish;Actinopterygii;Clupeiformes;Harengula humeralis
3734;Fish;Fish;Actinopterygii;Mugiliformes;Mugil sp
3737;Fish;Fish;Actinopterygii;Blenniiformes;Blenniidae
3739;Fish;Fish;Actinopterygii;Spariformes;Calamus sp
3748;Fish;Fish;Actinopterygii;Tetraodontiformes;Stephanolepis setifer
3752;Fish;Fish;Actinopterygii;Acanthuriformes;Acanthurus bahianus
3754;Fish;Fish;Actinopterygii;Kurtiformes;Apogonidae
3756;Fish;Fish;Actinopterygii;Blenniiformes;Clinidae
3757;Fish;Fish;Actinopterygii;Perciformes;Chromis cyanea
3759;Fish;Fish;Actinopterygii;Lutjaniformes;Haemulon flavolineatum
3760;Fish;Fish;Actinopterygii;Holocentriformes;Sargocentron coruscum
3761;Fish;Fish;Actinopterygii;Holocentriformes;Holocentrus rufus
3762;Fish;Fish;Actinopterygii;Blenniiformes;Labrisomus kalisherae
3763;Fish;Fish;Actinopterygii;Blenniiformes;Malacoctenus gilli
3765;Fish;Fish;Actinopterygii;Blenniiformes;Ophioblennius atlanticus
3766;Fish;Fish;Actinopterygii;Perciformes;Pomacentrus sp
3767;Fish;Fish;Actinopterygii;Perciformes;Stegastes pictus
3769;Fish;Fish;Actinopterygii;Gobiiformes;Priolepis hipoliti
3770;Fish;Fish;Actinopterygii;Labriformes;Thalassoma bifasciatum
3775;Fish;Fish;Actinopterygii;Perciformes;Stegastes planifrons
3779;Fish;Fish;Actinopterygii;Perciformes;Abudefduf saxatilis
3785;Fish;Fish;Actinopterygii;Carangiformes;Selar crumenophthalmus
3788;Fish;Fish;Actinopterygii;Gobiiformes;Coryphopterus sp
3789;Fish;Fish;Actinopterygii;Tetraodontiformes;Monacanthidae
3791;Fish;Fish;Actinopterygii;Carangiformes;Trachinotus baillonii
3802;Fish;Fish;Actinopterygii;Beloniformes;Hemiramphus brasiliensis
3808;Fish;Fish;Actinopterygii;Gobiiformes;Bathygobius fuscus
3809;Fish;Fish;Actinopterygii;Perciformes;Amphiprion melanopus
3810;Fish;Fish;Actinopterygii;Kurtiformes;Pristiapogon exostigma
3821;Fish;Fish;Actinopterygii;Kurtiformes;Phaeoptyx pigmentaria
3823;Fish;Fish;Actinopterygii;Gobiiformes;Eviota sp
3827;Fish;Fish;Actinopterygii;Aulopiformes;Saurida sp
3831;Fish;Fish;Actinopterygii;Kurtiformes;Pristiapogon kallopterus
3832;Fish;Fish;Actinopterygii;Acanthuriformes;Acanthurus nigrofuscus
3833;Fish;Fish;Actinopterygii;Tetraodontiformes;Canthigaster sp
3838;Fish;Fish;Actinopterygii;Perciformes;Plectroglyphidodon imparipennis
3851;Fish;Fish;Actinopterygii;Holocentriformes;Sargocentron xantherythrum
3854;Fish;Fish;Actinopterygii;Anguilliformes;Gymnothorax margaritophorus
3856;Fish;Fish;Actinopterygii;Syngnathiformes;Syngnathidae
3857;Fish;Fish;Actinopterygii;Holocentriformes;Neoniphon sammara
3871;Fish;Fish;Actinopterygii;Clupeiformes;Spratelloides delicatulus
3875;Fish;Fish;Actinopterygii;Syngnathiformes;Aulostomus maculatus
3877;Fish;Fish;Actinopterygii;Pempheriformes;Pempheris oualensis
3885;Fish;Fish;Actinopterygii;Chaetodontiformes;Chaetodontidae
3886;Fish;Fish;Actinopterygii;Perciformes;Chrysiptera biocellata
3898;Fish;Fish;Actinopterygii;Syngnathiformes;Mullidae
3904;Fish;Fish;Actinopterygii;Beloniformes;Ablennes hians
3908;Fish;Fish;Actinopterygii;Tetraodontiformes;Canthigaster rostrata
3910;Fish;Fish;Actinopterygii;Carangiformes;Caranx crysos
3912;Fish;Fish;Actinopterygii;Carangiformes;Decapterus sp
3914;Fish;Fish;Actinopterygii;Anguilliformes;Echidna catenata
3916;Fish;Fish;Actinopterygii;Clupeiformes;Harengula clupeola
3918;Fish;Fish;Actinopterygii;Lutjaniformes;Ocyurus chrysurus
3920;Fish;Fish;Actinopterygii;Perciformes;Sphyraena picudilla
